States,Code,Region
Jammu_&_Kashmir,1,North
Himachal_Pradesh,2,North
Punjab,3,North
Chandigarh,4,North
Uttarakhand,5,North
Haryana,6,North
Delhi,7,North
Rajasthan,8,West
Uttar_Pradesh,9,North
Bihar,10,East
Sikkim,11,North East
Arunachal_Pradesh,12,North East
Nagaland,13,North East
Manipur,14,North East
Mizoram,15,North East
Tripura,16,North East
Meghalaya,17,North East
Assam,18,North East
West_Bengal,19,East
Jharkhand,20,East
Odisha,21,East
Chhattisgarh,22,East
Madhya_Pradesh,23,West
Gujarat,24,West
Daman_&_Diu,25,West
Dadra_&_Nagar_Haveli,26,West
Maharashtra,27,West
Andhra_Pradesh,28,South
Karnataka,29,South
Goa,30,West
Lakshadweep,31,South
Kerala,32,South
Tamil_Nadu,33,South
Puducherry,34,South
Andaman_&_Nicobar_Islands,35,South
Telangana,36,South
