Number of Candidates,pre_post_nota_ind,perc_lastpositionwon,relativeperc_lastpositionwon
2,Pre NOTA,31.58,63.16
2,Post NOTA,38.03,76.06
2,Expectation,50,50
3,Pre NOTA,15.28,45.83
3,Post NOTA,22.69,68.07
3,Expectation,33.33,33.33
4,Pre NOTA,8.73,34.93
4,Post NOTA,16.48,65.91
4,Expectation,25,25
5,Pre NOTA,6.05,30.27
5,Post NOTA,11.9,59.52
5,Expectation,20,20
6,Pre NOTA,3.57,21.43
6,Post NOTA,10.15,60.92
6,Expectation,16.67,16.67
7,Pre NOTA,3.39,23.73
7,Post NOTA,8.48,59.34
7,Expectation,14.29,14.29
8,Pre NOTA,2.65,21.21
8,Post NOTA,6.03,48.27
8,Expectation,12.5,12.5
9,Pre NOTA,1.64,14.77
9,Post NOTA,5.22,47
9,Expectation,11.11,11.11
10,Pre NOTA,1.16,11.61
10,Post NOTA,3.91,39.13
10,Expectation,10,10
