"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"AE","Arunachal_Pradesh","8","1","2009","9","0","4","1","JAMBEY TASHI","M","INC","0","ST","0","8022","LUMLA","ST","","1","0","","no","0","","","AEAR80943","","3482","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","35","TAWANG","","","","Graduate","Other","","",""
"AE","Arunachal_Pradesh","8","2","2009","9","0","4","1","TSEWANG DHONDUP","M","INC","0","ST","0","9812","TAWANG","ST","","1","0","","no","0","","","AEAR81268","","3482","TRUE","2","INC","3482","TAWANG","TRUE","TRUE","2","FALSE","TRUE","TRUE","50","TAWANG","","","","Graduate","Other","","",""
"AE","Arunachal_Pradesh","8","3","2009","9","0","4","1","DORJEE KHANDU","M","INC","0","ST","0","6916","MUKTO","ST","","1","0","","no","0","","","AEAR81614","","3482","FALSE","4","INC","3482","MUKTO","TRUE","TRUE","4","FALSE","FALSE","FALSE","54","TAWANG","","","","8th Pass","Other","","",""
"AE","Arunachal_Pradesh","8","3","2011","9","1","4","1","Pema Khandu","","INC","0","","0","6916","MUKTO","ST","","1","0","","no","0","","","AEAR80947","","3482","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","","TAWANG","","","","","","","",""
"AE","Arunachal_Pradesh","8","4","2009","9","0","4","1","PHURPA TSERING","M","PPA","6618","ST","11703","13760","DIRANG","ST","","2","85.05","56.55","no","1533","13.1","1.96","AEAR80948","","6028","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","39","WEST KAMENG","","","","12th Pass","Other","","",""
"AE","Arunachal_Pradesh","8","4","2009","9","0","4","2","TSERING GYURME","M","INC","5085","ST","11703","13760","DIRANG","ST","","2","85.05","43.45","no","0","0","1.96","AEAR81112","","3482","TRUE","4","INC","3482","DIRANG","TRUE","TRUE","2","FALSE","FALSE","FALSE","54","WEST KAMENG","","","","8th Pass","Other","","",""
"AE","Arunachal_Pradesh","8","5","2009","9","0","4","1","TENZING NORBU THONGDOK","M","INC","4189","ST","7147","9122","KALAKTANG","ST","","2","78.35","58.61","no","1231","17.22","1.96","AEAR81113","","3482","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","58","WEST KAMENG","","","","Graduate Professional","Other","","",""
"AE","Arunachal_Pradesh","8","5","2009","9","0","4","2","RINCHIN KHANDU KHRIMEY","M","NCP","2958","ST","7147","9122","KALAKTANG","ST","","2","78.35","41.39","no","0","0","1.96","AEAR81619","","5792","TRUE","5","IND","10809","KALAKTANG","TRUE","FALSE","3","FALSE","TRUE","TRUE","62","WEST KAMENG","","","","Graduate","Other","","",""
"AE","Arunachal_Pradesh","8","6","2009","9","0","4","1","KUMSI SIDISOW","M","PPA","8279","ST","11560","14734","THRIZINO-BURAGAON","ST","","2","78.46","71.62","no","4998","43.24","1.69","AEAR80952","","6028","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","27","WEST KAMENG","","","","Graduate","Other","","",""
"AE","Arunachal_Pradesh","8","6","2009","9","0","4","2","NARESH GLOW","M","INC","3281","ST","11560","14734","THRIZINO-BURAGAON","ST","","2","78.46","28.38","no","0","0","1.69","AEAR81964","","3482","TRUE","5","INC","3482","THRIZINO-BURAGAON","TRUE","TRUE","3","FALSE","TRUE","TRUE","49","WEST KAMENG","","","","10th Pass","Other","","",""
"AE","Arunachal_Pradesh","8","7","2009","9","0","4","1","R. T. KHUNJUJU","M","INC","4062","ST","7971","11038","BOMDILA","ST","","3","72.21","50.96","no","392","4.92","2.13","AEAR80955","","3482","TRUE","4","BJP","1605","BOMDILA","TRUE","FALSE","2","TRUE","TRUE","TRUE","42","WEST KAMENG","","","","12th Pass","Other","","",""
"AE","Arunachal_Pradesh","8","7","2009","9","0","4","2","JAPU DERU","M","NCP","3670","ST","7971","11038","BOMDILA","ST","","3","72.21","46.04","no","3431","43.04","2.13","AEAR80954","","5792","TRUE","6","INC","3482","BOMDILA","TRUE","FALSE","4","TRUE","FALSE","TRUE","51","WEST KAMENG","","","","10th Pass","Other","","",""
"AE","Arunachal_Pradesh","8","7","2009","9","0","4","3","SAMBU SIONGJU","M","BJP","239","ST","7971","11038","BOMDILA","ST","","3","72.21","3","yes","0","0","2.13","AEAR81119","","1605","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","41","WEST KAMENG","","","","Graduate","Other","","",""
"AE","Arunachal_Pradesh","8","8","2009","9","0","4","1","KUMAR WAII","M","INC","5647","ST","7930","9330","BAMENG","ST","","2","84.99","71.21","no","3364","42.42","1.69","AEAR80956","","3482","TRUE","2","INC","3482","BAMENG","TRUE","TRUE","2","FALSE","TRUE","TRUE","38","EAST KAMENG","","","","10th Pass","Other","","",""
"AE","Arunachal_Pradesh","8","8","2009","9","0","4","2","TAGUNG NERI","M","AITC","2283","ST","7930","9330","BAMENG","ST","","2","84.99","28.79","no","0","0","1.69","AEAR81121","","18228","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","38","EAST KAMENG","","","","12th Pass","Other","","",""
"AE","Arunachal_Pradesh","8","9","2009","9","0","4","1","KARYA BAGANG","F","AITC","3674","ST","7006","8396","CHAYANG TAJO","ST","","2","83.44","52.44","no","342","4.88","2","AEAR100003","","18228","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","32","EAST KAMENG","","","","5th Pass","Other","","",""
"AE","Arunachal_Pradesh","8","9","2009","9","0","4","2","KAMENG DOLO","M","INC","3332","ST","7006","8396","CHAYANG TAJO","ST","","2","83.44","47.56","no","0","0","2","AEAR81801","","3482","TRUE","8","BJP","1605","CHAYANGTAJO","FALSE","FALSE","7","TRUE","TRUE","TRUE","57","EAST KAMENG","","","","10th Pass","Other","","",""
"AE","Arunachal_Pradesh","8","10","2009","9","0","4","1","TAPUK TAKU","M","AITC","4666","ST","9040","11959","SEPPA EAST","ST","","2","75.59","51.62","no","292","3.23","2","AEAR80962","","18228","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","40","EAST KAMENG","","","","12th Pass","Other","","",""
"AE","Arunachal_Pradesh","8","10","2009","9","0","4","2","TAME PHASSANG","M","INC","4374","ST","9040","11959","SEPPA EAST","ST","","2","75.59","48.38","no","0","0","2","AEAR81631","","3482","TRUE","3","IND","10809","SEPPA EAST","TRUE","FALSE","0","FALSE","FALSE","TRUE","40","EAST KAMENG","","","","Graduate","Other","","",""
"AE","Arunachal_Pradesh","8","11","2009","9","0","4","1","TANI LOFFA","M","AITC","2783","ST","5255","5534","SEPPA WEST","ST","","2","94.96","52.96","no","311","5.92","2","AEAR81126","","18228","TRUE","3","BJP","1605","SEPPA WEST","TRUE","FALSE","2","TRUE","TRUE","TRUE","52","EAST KAMENG","","","","10th Pass","Other","","",""
"AE","Arunachal_Pradesh","8","11","2009","9","0","4","2","HARI NOTUNG","M","INC","2472","ST","5255","5534","SEPPA WEST","ST","","2","94.96","47.04","no","0","0","2","AEAR81127","","3482","TRUE","5","INC","3482","SEPPA WEST","TRUE","TRUE","3","FALSE","FALSE","TRUE","45","EAST KAMENG","","","","10th Pass","Other","","",""
