"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"AE","Assam","13","1","2011","5","0","4","1","KRIPANATH MALLAH","M","INC","33043","SC","82973","138020","RATABARI","SC","SOUTHERN ASSAM (BARAK VALLEY)","12","60.12","39.82","no","12429","14.98","3.85","AEAS189904","","3482","TRUE","2","INC","3482","Ratabari(SC)","FALSE","TRUE","2","FALSE","FALSE","FALSE","35","KARIMGANJ","","","","Graduate","Politics","Ex MLA","",""
"AE","Assam","13","1","2011","5","0","4","2","NIKHIL SUKLABAIDYA","M","BJP","20614","SC","82973","138020","RATABARI","SC","SOUTHERN ASSAM (BARAK VALLEY)","12","60.12","24.84","no","3114","3.75","3.85","AEAS187860","","1605","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","44","KARIMGANJ","","","","Others","Business","","Social Work",""
"AE","Assam","13","1","2011","5","0","4","3","PRIYADA RANJAN MALLICK","M","AIUDF","17500","SC","82973","138020","RATABARI","SC","SOUTHERN ASSAM (BARAK VALLEY)","12","60.12","21.09","no","13562","16.35","3.85","AEAS187861","","795","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","63","KARIMGANJ","","","","12th Pass","Business","","",""
"AE","Assam","13","1","2011","5","0","4","4","AMARESH ROY","M","AITC","3938","SC","82973","138020","RATABARI","SC","SOUTHERN ASSAM (BARAK VALLEY)","12","60.12","4.75","yes","791","0.95","3.85","AEAS187862","","18228","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","41","KARIMGANJ","","","","Post Graduate","Business","","",""
"AE","Assam","13","1","2011","5","0","4","5","RAGENDRA CHANDRA DAS","M","CPI","3147","SC","82973","138020","RATABARI","SC","SOUTHERN ASSAM (BARAK VALLEY)","12","60.12","3.79","yes","1406","1.69","3.85","AEAS187863","","2444","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","46","KARIMGANJ","","","","10th Pass","Business","","",""
"AE","Assam","13","1","2011","5","0","4","6","MOON SWARNAKAR","F","AGP","1741","SC","82973","138020","RATABARI","SC","SOUTHERN ASSAM (BARAK VALLEY)","12","60.12","2.1","yes","928","1.12","3.85","AEAS187864","","978","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","36","KARIMGANJ","","","","Graduate","Social Work","","",""
"AE","Assam","13","1","2011","5","0","4","7","BIJOY PRASAD MALLAH","M","IND","813","SC","82973","138020","RATABARI","SC","SOUTHERN ASSAM (BARAK VALLEY)","12","60.12","0.98","yes","242","0.29","3.85","AEAS187865","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","33","KARIMGANJ","","","","","","","",""
"AE","Assam","13","1","2011","5","0","4","8","MUNILAL RABIDAS","M","SUCI","571","SC","82973","138020","RATABARI","SC","SOUTHERN ASSAM (BARAK VALLEY)","12","60.12","0.69","yes","114","0.14","3.85","AEAS188880","","8082","TRUE","2","IND","10809","RATABARI","TRUE","FALSE","0","FALSE","FALSE","TRUE","41","KARIMGANJ","","","","8th Pass","Other","","",""
"AE","Assam","13","1","2011","5","0","4","9","NIRMAL MALLICK","M","SP","457","SC","82973","138020","RATABARI","SC","SOUTHERN ASSAM (BARAK VALLEY)","12","60.12","0.55","yes","43","0.05","3.85","AEAS188882","","7425","TRUE","2","SP","7425","RATABARI","TRUE","TRUE","0","FALSE","FALSE","TRUE","37","KARIMGANJ","","","","8th Pass","Unemployed","","",""
"AE","Assam","13","1","2011","5","0","4","10","PARIKSHIT ROY","M","IND","414","SC","82973","138020","RATABARI","SC","SOUTHERN ASSAM (BARAK VALLEY)","12","60.12","0.5","yes","8","0.01","3.85","AEAS187868","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","39","KARIMGANJ","","","","10th Pass","Business","","",""
"AE","Assam","13","1","2011","5","0","4","11","ANANDA SANKAR MALLAH","M","IND","406","SC","82973","138020","RATABARI","SC","SOUTHERN ASSAM (BARAK VALLEY)","12","60.12","0.49","yes","77","0.09","3.85","AEAS187869","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","39","KARIMGANJ","","","","8th Pass","Agriculture","","",""
"AE","Assam","13","1","2011","5","0","4","12","PRADIP BANIA","M","IND","329","SC","82973","138020","RATABARI","SC","SOUTHERN ASSAM (BARAK VALLEY)","12","60.12","0.4","yes","0","0","3.85","AEAS187870","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","35","KARIMGANJ","","","","","Business","","",""
"AE","Assam","13","2","2011","5","0","4","1","MONILAL GOWALA","M","INC","44986","GEN","106456","142923","PATHARKANDI","GEN","SOUTHERN ASSAM (BARAK VALLEY)","8","74.48","42.26","no","3224","3.03","2.94","AEAS188889","","3482","TRUE","6","INC","3482","PATHARKANDI","TRUE","TRUE","3","FALSE","FALSE","TRUE","67","KARIMGANJ","","","","Graduate Professional","Agriculture","","",""
