"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"AE","Bihar","15","1","2010","11","0","4","1","RAJESH SINGH","M","JD(U)","42289","GEN","143698","240418","VALMIKI NAGAR","GEN","TIRHUT","14","59.77","29.43","no","14671","10.21","5.56","AEBR12762","","11002","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","37","WEST CHAMPARAN","","","","Graduate","Other","","",""
"AE","Bihar","15","1","2010","11","0","4","2","MUKESH KUMAR KUSHWAHA","M","RJD","27618","GEN","143698","240418","VALMIKI NAGAR","GEN","TIRHUT","14","59.77","19.22","no","6732","4.68","5.56","AEBR12763","","12103","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","34","WEST CHAMPARAN","","","","Graduate Professional","Other","","",""
"AE","Bihar","15","1","2010","11","0","4","3","DHEERENDRA PRATAP SINGH","M","BSP","20886","GEN","143698","240418","VALMIKI NAGAR","GEN","TIRHUT","14","59.77","14.53","yes","3139","2.18","5.56","AEBR12764","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","31","WEST CHAMPARAN","","","","Graduate Professional","Other","","",""
"AE","Bihar","15","1","2010","11","0","4","4","IRSHAD HUSSAIN","M","INC","17747","GEN","143698","240418","VALMIKI NAGAR","GEN","TIRHUT","14","59.77","12.35","yes","3700","2.57","5.56","AEBR12765","","3482","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","34","WEST CHAMPARAN","","","","12th Pass","Other","","",""
"AE","Bihar","15","1","2010","11","0","4","5","DEEP NARAYAN MAHATO","M","IND","14047","GEN","143698","240418","VALMIKI NAGAR","GEN","TIRHUT","14","59.77","9.78","yes","5689","3.96","5.56","AEBR3665","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","65","WEST CHAMPARAN","","","","Graduate","Other","","",""
"AE","Bihar","15","1","2010","11","0","4","6","MANOJ KUMAR SINGH","M","JPS","8358","GEN","143698","240418","VALMIKI NAGAR","GEN","TIRHUT","14","59.77","5.82","yes","3930","2.73","5.56","AEBR3666","","4612","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","38","WEST CHAMPARAN","","","","Literate","Other","","",""
"AE","Bihar","15","1","2010","11","0","4","7","SAKET KUMAR PATHAK","M","IND","4428","GEN","143698","240418","VALMIKI NAGAR","GEN","TIRHUT","14","59.77","3.08","yes","2781","1.94","5.56","AEBR3667","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","27","WEST CHAMPARAN","","","","Post Graduate","Other","","",""
"AE","Bihar","15","1","2010","11","0","4","8","RAMAYAN CHAUDHARY","M","IND","1647","GEN","143698","240418","VALMIKI NAGAR","GEN","TIRHUT","14","59.77","1.15","yes","37","0.03","5.56","AEBR3668","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","33","WEST CHAMPARAN","","","","Literate","Other","","",""
"AE","Bihar","15","1","2010","11","0","4","9","RAM NARESH SAH","M","IND","1610","GEN","143698","240418","VALMIKI NAGAR","GEN","TIRHUT","14","59.77","1.12","yes","276","0.19","5.56","AEBR3669","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","40","WEST CHAMPARAN","","","","","","","",""
"AE","Bihar","15","1","2010","11","0","4","10","SHASHI BHUSAN SAHAY","M","NCP","1334","GEN","143698","240418","VALMIKI NAGAR","GEN","TIRHUT","14","59.77","0.93","yes","220","0.15","5.56","AEBR3670","","5792","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","40","WEST CHAMPARAN","","","","Graduate","Other","","",""
"AE","Bihar","15","1","2010","11","0","4","11","PRAMOD SAH","M","IND","1114","GEN","143698","240418","VALMIKI NAGAR","GEN","TIRHUT","14","59.77","0.78","yes","72","0.05","5.56","AEBR3671","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","41","WEST CHAMPARAN","","","","Literate","Other","","",""
"AE","Bihar","15","1","2010","11","0","4","12","RAMASHANKAR PRASAD","M","BJJD","1042","GEN","143698","240418","VALMIKI NAGAR","GEN","TIRHUT","14","59.77","0.73","yes","207","0.14","5.56","AEBR3672","","1676","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","36","WEST CHAMPARAN","","","","8th Pass","Other","","",""
"AE","Bihar","15","1","2010","11","0","4","13","INSAD ALI","M","IND","835","GEN","143698","240418","VALMIKI NAGAR","GEN","TIRHUT","14","59.77","0.58","yes","92","0.06","5.56","AEBR3673","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","29","WEST CHAMPARAN","","","","5th Pass","Other","","",""
"AE","Bihar","15","1","2010","11","0","4","14","PAHAWARI YADAW","M","IND","743","GEN","143698","240418","VALMIKI NAGAR","GEN","TIRHUT","14","59.77","0.52","yes","0","0","5.56","AEBR3674","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","40","WEST CHAMPARAN","","","","","Other","","",""
"AE","Bihar","15","2","2010","11","0","4","1","BHAGIRATHI DEVI","F","BJP","51993","SC","125257","216595","RAMNAGAR","SC","TIRHUT","17","57.83","41.51","no","29782","23.78","4.17","AEBR3675","","1605","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","53","WEST CHAMPARAN","","","","5th Pass","Other","","",""
"AE","Bihar","15","2","2010","11","0","4","2","NARESH RAM","M","INC","22211","SC","125257","216595","RAMNAGAR","SC","TIRHUT","17","57.83","17.73","no","2116","1.69","4.17","AEBR3676","","3482","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","36","WEST CHAMPARAN","","","","Graduate","Other","","",""
"AE","Bihar","15","2","2010","11","0","4","3","SUBODH KUMAR","M","NCP","20095","SC","125257","216595","RAMNAGAR","SC","TIRHUT","17","57.83","16.04","yes","11015","8.79","4.17","AEBR3677","","5792","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","45","WEST CHAMPARAN","","","","Graduate","Other","","",""
"AE","Bihar","15","2","2010","11","0","4","4","SHAMBHU RAM","M","RJD","9080","SC","125257","216595","RAMNAGAR","SC","TIRHUT","17","57.83","7.25","yes","4951","3.95","4.17","AEBR3678","","12103","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","43","WEST CHAMPARAN","","","","8th Pass","Other","","",""
"AE","Bihar","15","2","2010","11","0","4","5","RAMESHVAR MANJHEE","M","CPI(ML)(L)","4129","SC","125257","216595","RAMNAGAR","SC","TIRHUT","17","57.83","3.3","yes","304","0.24","4.17","AEBR3679","","2472","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","33","WEST CHAMPARAN","","","","8th Pass","Other","","",""
"AE","Bihar","15","2","2010","11","0","4","6","LAKSHMI RAM","M","BSP","3825","SC","125257","216595","RAMNAGAR","SC","TIRHUT","17","57.83","3.05","yes","1777","1.42","4.17","AEBR3680","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","55","WEST CHAMPARAN","","","","Graduate","Other","","",""
