"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"AE","Chhattisgarh","2","1","2008","12","0","4","1","PHOOLCHAND SINGH","M","BJP","35443","ST","89731","133071","BHARATPUR-SONHAT","ST","NOTHERN HILLS","12","67.43","39.5","no","7298","8.13","3.57","AECGAEMP827","","1605","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","61","KORIA","","","","Post Graduate","Other","","",""
"AE","Chhattisgarh","2","1","2008","12","0","4","2","GULAB SINGH","M","INC","28145","ST","89731","133071","BHARATPUR-SONHAT","ST","NOTHERN HILLS","12","67.43","31.37","no","19028","21.21","3.57","AECGAEMP823","","3482","TRUE","2","INC","3482","MANENDRAGARH","FALSE","TRUE","1","FALSE","TRUE","TRUE","41","KORIA","","","","Graduate","Other","","",""
"AE","Chhattisgarh","2","1","2008","12","0","4","3","YESHWANT GOND","M","GGP","9117","ST","89731","133071","BHARATPUR-SONHAT","ST","NOTHERN HILLS","12","67.43","10.16","yes","2009","2.24","3.57","AECGAEMP829","","3129","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","34","KORIA","","","","12th Pass","Other","","",""
"AE","Chhattisgarh","2","1","2008","12","0","4","4","MOHAN KUMAR CHERWA","M","IND","7108","ST","89731","133071","BHARATPUR-SONHAT","ST","NOTHERN HILLS","12","67.43","7.92","yes","3500","3.9","3.57","AECGAEMP828","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","36","KORIA","","","","Post Graduate","Other","","",""
"AE","Chhattisgarh","2","1","2008","12","0","4","5","SUSHILA SINGH","F","BSP","3608","ST","89731","133071","BHARATPUR-SONHAT","ST","NOTHERN HILLS","12","67.43","4.02","yes","2120","2.36","3.57","AECGAEMP824","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","34","KORIA","","","","10th Pass","Other","","",""
"AE","Chhattisgarh","2","1","2008","12","0","4","6","BHAGWAN SINGH (GURUJI)","M","IND","1488","ST","89731","133071","BHARATPUR-SONHAT","ST","NOTHERN HILLS","12","67.43","1.66","yes","354","0.39","3.57","AECGAEMP822","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","41","KORIA","","","","Graduate","Other","","",""
"AE","Chhattisgarh","2","1","2008","12","0","4","7","JANSAI CHERWA","M","SP","1134","ST","89731","133071","BHARATPUR-SONHAT","ST","NOTHERN HILLS","12","67.43","1.26","yes","223","0.25","3.57","AECGAEMP830","","7425","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","55","KORIA","","","","Literate","Other","","",""
"AE","Chhattisgarh","2","1","2008","12","0","4","8","BUDDHSEN","M","IND","911","ST","89731","133071","BHARATPUR-SONHAT","ST","NOTHERN HILLS","12","67.43","1.02","yes","112","0.12","3.57","AECGAEMP831","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","54","KORIA","","","","10th Pass","Other","","",""
"AE","Chhattisgarh","2","1","2008","12","0","4","9","SANT KUMAR","M","SHS","799","ST","89731","133071","BHARATPUR-SONHAT","ST","NOTHERN HILLS","12","67.43","0.89","yes","81","0.09","3.57","AECGAEMP825","","18691","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","60","KORIA","","","","10th Pass","Other","","",""
"AE","Chhattisgarh","2","1","2008","12","0","4","10","RAMESH SINGH","M","RGOP","718","ST","89731","133071","BHARATPUR-SONHAT","ST","NOTHERN HILLS","12","67.43","0.8","yes","65","0.07","3.57","AECGAEMP820","","6470","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","25","KORIA","","","","Graduate","Other","","",""
"AE","Chhattisgarh","2","1","2008","12","0","4","11","RITA SINGH GOND","F","LJP","653","ST","89731","133071","BHARATPUR-SONHAT","ST","NOTHERN HILLS","12","67.43","0.73","yes","46","0.05","3.57","AECGAEMP821","","5029","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","25","KORIA","","","","5th Pass","Other","","",""
"AE","Chhattisgarh","2","1","2008","12","0","4","12","SADHU SINGH","M","JD(U)","607","ST","89731","133071","BHARATPUR-SONHAT","ST","NOTHERN HILLS","12","67.43","0.68","yes","0","0","3.57","AECGAEMP826","","11002","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","59","KORIA","","","","","Other","","",""
"AE","Chhattisgarh","2","2","2008","12","0","4","1","DEEPAK KUMAR PATEL","M","BJP","30912","GEN","73493","122800","MANENDRAGARH","GEN","NOTHERN HILLS","13","59.85","42.06","no","14282","19.43","3.85","AECGAEMP834","","1605","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","40","KORIA","","","","12th Pass","Other","","",""
"AE","Chhattisgarh","2","2","2008","12","0","4","2","RAMANUJ (RAMU BHAIYA )","M","NCP","16630","GEN","73493","122800","MANENDRAGARH","GEN","NOTHERN HILLS","13","59.85","22.63","no","9237","12.57","3.85","AECGAEMP844","","5792","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","54","KORIA","","","","12th Pass","Other","","",""
"AE","Chhattisgarh","2","2","2008","12","0","4","3","AMIR SINGH SHYAM","M","GGP","7393","ST","73493","122800","MANENDRAGARH","GEN","NOTHERN HILLS","13","59.85","10.06","yes","1118","1.52","3.85","AEMP19541","","3129","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","44","KORIA","","","","8th Pass","Other","","",""
"AE","Chhattisgarh","2","2","2008","12","0","4","4","BABA SAHAB CHANDRAPRATAP SINGH","M","BSP","6275","ST","73493","122800","MANENDRAGARH","GEN","NOTHERN HILLS","13","59.85","8.54","yes","980","1.33","3.85","AECGAEMP843","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","47","KORIA","","","","","","","",""
"AE","Chhattisgarh","2","2","2008","12","0","4","5","RAMESH SINGH","M","IND","5295","GEN","73493","122800","MANENDRAGARH","GEN","NOTHERN HILLS","13","59.85","7.2","yes","2852","3.88","3.85","AECGAEMP833","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","55","KORIA","","","","","","","",""
"AE","Chhattisgarh","2","2","2008","12","0","4","6","SURESH AGRAWAL","M","IND","2443","GEN","73493","122800","MANENDRAGARH","GEN","NOTHERN HILLS","13","59.85","3.32","yes","1302","1.77","3.85","AECGAEMP840","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","51","KORIA","","","","Graduate","Other","","",""
"AE","Chhattisgarh","2","2","2008","12","0","4","7","RAMASHANKAR GUPTA","M","CPI","1141","GEN","73493","122800","MANENDRAGARH","GEN","NOTHERN HILLS","13","59.85","1.55","yes","322","0.44","3.85","AECGAEMP842","","2444","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","56","KORIA","","","","12th Pass","Other","","",""
"AE","Chhattisgarh","2","2","2008","12","0","4","8","RAKESH KUMAR","M","GMS","819","GEN","73493","122800","MANENDRAGARH","GEN","NOTHERN HILLS","13","59.85","1.11","yes","223","0.3","3.85","AECGAEMP839","","3146","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","27","KORIA","","","","","","","",""
"AE","Chhattisgarh","2","2","2008","12","0","4","9","KHUSHIRAM SURYAVANSI","M","IND","596","SC","73493","122800","MANENDRAGARH","GEN","NOTHERN HILLS","13","59.85","0.81","yes","56","0.08","3.85","AECGAEMP832","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","38","KORIA","","","","12th Pass","Other","","",""
"AE","Chhattisgarh","2","2","2008","12","0","4","10","MALTI SINGH RAJPUT","F","SP","540","GEN","73493","122800","MANENDRAGARH","GEN","NOTHERN HILLS","13","59.85","0.73","yes","13","0.02","3.85","AECGAEMP835","","7425","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","40","KORIA","","","","12th Pass","Other","","",""
"AE","Chhattisgarh","2","2","2008","12","0","4","11","MD. AJMUDDIN ANSARI (GUDDA)","M","BJSH","527","GEN","73493","122800","MANENDRAGARH","GEN","NOTHERN HILLS","13","59.85","0.72","yes","25","0.03","3.85","AECGAEMP836","","1452","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","42","KORIA","","","","","","","",""
"AE","Chhattisgarh","2","2","2008","12","0","4","12","AMARJEET SINGH NAGRA","M","SHS","502","GEN","73493","122800","MANENDRAGARH","GEN","NOTHERN HILLS","13","59.85","0.68","yes","82","0.11","3.85","AECGAEMP841","","18691","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","40","KORIA","","","","Others","Other","","",""
"AE","Chhattisgarh","2","2","2008","12","0","4","13","GOPAL YADAV","M","JD(U)","420","GEN","73493","122800","MANENDRAGARH","GEN","NOTHERN HILLS","13","59.85","0.57","yes","0","0","3.85","AECGAEMP838","","11002","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","42","KORIA","","","","","","","",""
"AE","Chhattisgarh","2","3","2008","12","0","4","1","BHAIYA LAL RAJWADE","M","BJP","36215","GEN","91909","133352","BAIKUNTHPUR","GEN","NOTHERN HILLS","13","68.92","39.4","no","5536","6.02","3.57","AECGAEMP14","","1605","TRUE","2","BJP","1605","BAIKUNTHPUR","TRUE","TRUE","1","FALSE","FALSE","TRUE","55","KORIA","","","","12th Pass","Other","","",""
"AE","Chhattisgarh","2","3","2008","12","0","4","2","BEDANTI TIWARI","M","INC","30679","GEN","91909","133352","BAIKUNTHPUR","GEN","NOTHERN HILLS","13","68.92","33.38","no","21251","23.12","3.57","AECGAEMP857","","3482","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","47","KORIA","","","","","Other","","",""
"AE","Chhattisgarh","2","3","2008","12","0","4","3","RAMDULAR SINGH AAYAM","M","GGP","9428","ST","91909","133352","BAIKUNTHPUR","GEN","NOTHERN HILLS","13","68.92","10.26","yes","4263","4.64","3.57","AECGAEMP851","","3129","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","41","KORIA","","","","12th Pass","Other","","",""
"AE","Chhattisgarh","2","3","2008","12","0","4","4","MAN SAI","M","BSP","5165","ST","91909","133352","BAIKUNTHPUR","GEN","NOTHERN HILLS","13","68.92","5.62","yes","2088","2.27","3.57","AECGAEMP853","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","31","KORIA","","","","8th Pass","Other","","",""
"AE","Chhattisgarh","2","3","2008","12","0","4","5","GYAN PRASAD KHUSHWAHA","M","IND","3077","GEN","91909","133352","BAIKUNTHPUR","GEN","NOTHERN HILLS","13","68.92","3.35","yes","1053","1.15","3.57","AECGAEMP855","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","59","KORIA","","","","Graduate","Other","","",""
"AE","Chhattisgarh","2","3","2008","12","0","4","6","PANDIT ANIL MAHARAJ","M","RJD","2024","GEN","91909","133352","BAIKUNTHPUR","GEN","NOTHERN HILLS","13","68.92","2.2","yes","855","0.93","3.57","AECGAEMP20","","12103","TRUE","2","IND","10809","BAIKUNTHPUR","TRUE","FALSE","0","FALSE","FALSE","TRUE","48","KORIA","","","","Graduate Professional","Other","","",""
"AE","Chhattisgarh","2","3","2008","12","0","4","7","MANOJ KUMAR SIRDAR","M","IND","1169","ST","91909","133352","BAIKUNTHPUR","GEN","NOTHERN HILLS","13","68.92","1.27","yes","107","0.12","3.57","AECGAEMP852","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","40","KORIA","","","","5th Pass","Other","","",""
"AE","Chhattisgarh","2","3","2008","12","0","4","8","HIRA LAL SAHU","M","BJSH","1062","GEN","91909","133352","BAIKUNTHPUR","GEN","NOTHERN HILLS","13","68.92","1.16","yes","75","0.08","3.57","AECGAEMP18","","1452","TRUE","2","IND","10809","BAIKUNTHPUR","TRUE","FALSE","0","FALSE","FALSE","TRUE","36","KORIA","","","","8th Pass","Other","","",""
"AE","Chhattisgarh","2","3","2008","12","0","4","9","PRADEEP KUMAR SINGH","M","IND","987","ST","91909","133352","BAIKUNTHPUR","GEN","NOTHERN HILLS","13","68.92","1.07","yes","376","0.41","3.57","AECGAEMP856","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","40","KORIA","","","","12th Pass","Other","","",""
"AE","Chhattisgarh","2","3","2008","12","0","4","10","NAND LAL KULHARIYA","M","IND","611","ST","91909","133352","BAIKUNTHPUR","GEN","NOTHERN HILLS","13","68.92","0.66","yes","35","0.04","3.57","AECGAEMP848","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","27","KORIA","","","","","","","",""
"AE","Chhattisgarh","2","3","2008","12","0","4","11","CHINTA MANI SANDILYA","M","RGOP","576","ST","91909","133352","BAIKUNTHPUR","GEN","NOTHERN HILLS","13","68.92","0.63","yes","49","0.05","3.57","AECGAEMP849","","6470","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","34","KORIA","","","","10th Pass","Other","","",""
"AE","Chhattisgarh","2","3","2008","12","0","4","12","MADAN LAL SAHU","M","SP","527","GEN","91909","133352","BAIKUNTHPUR","GEN","NOTHERN HILLS","13","68.92","0.57","yes","138","0.15","3.57","AECGAEMP854","","7425","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","35","KORIA","","","","12th Pass","Other","","",""
"AE","Chhattisgarh","2","3","2008","12","0","4","13","DHARMENDRA KUSWAHA","M","SHS","389","GEN","91909","133352","BAIKUNTHPUR","GEN","NOTHERN HILLS","13","68.92","0.42","yes","0","0","3.57","AECGAEMP846","","18691","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","30","KORIA","","","","8th Pass","Other","","",""
"AE","Chhattisgarh","2","4","2008","12","0","4","1","RENUKA SINGH","F","BJP","56652","ST","131381","174791","PREMNAGAR","GEN","NOTHERN HILLS","15","75.16","43.12","no","16109","12.26","3.45","AECGAEMP22","","1605","TRUE","2","BJP","1605","PREMNAGAR","TRUE","TRUE","2","FALSE","TRUE","TRUE","42","SURAJPUR","","","","12th Pass","Other","","",""
"AE","Chhattisgarh","2","4","2008","12","0","4","2","NARESH KUMAR RAJWADE","M","INC","40543","GEN","131381","174791","PREMNAGAR","GEN","NOTHERN HILLS","15","75.16","30.86","no","32545","24.77","3.45","AECGAEMP869","","3482","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","34","SURAJPUR","","","","Graduate","Other","","",""
"AE","Chhattisgarh","2","4","2008","12","0","4","3","TULESHWAR SINGH","M","SP","7998","ST","131381","174791","PREMNAGAR","GEN","NOTHERN HILLS","15","75.16","6.09","yes","1656","1.26","3.45","AEMP9110","","7425","TRUE","2","INC","3482","PREMNAGAR","TRUE","FALSE","0","TRUE","FALSE","TRUE","49","SURAJPUR","","","","Post Graduate","Other","","",""
"AE","Chhattisgarh","2","4","2008","12","0","4","4","JAGDISH SAHU","M","BSP","6342","GEN","131381","174791","PREMNAGAR","GEN","NOTHERN HILLS","15","75.16","4.83","yes","1855","1.41","3.45","AECGAEMP862","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","48","SURAJPUR","","","","8th Pass","Other","","",""
"AE","Chhattisgarh","2","4","2008","12","0","4","5","SURAJMANI KUSHWAHA","F","IND","4487","GEN","131381","174791","PREMNAGAR","GEN","NOTHERN HILLS","15","75.16","3.42","yes","1207","0.92","3.45","AECGAEMP868","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","31","SURAJPUR","","","","8th Pass","Other","","",""
"AE","Chhattisgarh","2","4","2008","12","0","4","6","PRAMILA KERAM","F","GGP","3280","ST","131381","174791","PREMNAGAR","GEN","NOTHERN HILLS","15","75.16","2.5","yes","598","0.46","3.45","AECGAEMP867","","3129","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","26","SURAJPUR","","","","12th Pass","Other","","",""
"AE","Chhattisgarh","2","4","2008","12","0","4","7","SANT LAL SINGH","M","SHS","2682","ST","131381","174791","PREMNAGAR","GEN","NOTHERN HILLS","15","75.16","2.04","yes","501","0.38","3.45","AECGAEMP864","","18691","TRUE","2","IND","10809","SURAJPUR","FALSE","FALSE","0","FALSE","FALSE","TRUE","31","SURAJPUR","","","","Graduate","Other","","",""
"AE","Chhattisgarh","2","4","2008","12","0","4","8","RAJENDRA KUMAR SHASTRI","M","IND","2181","GEN","131381","174791","PREMNAGAR","GEN","NOTHERN HILLS","15","75.16","1.66","yes","572","0.44","3.45","AECGAEMP870","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","41","SURAJPUR","","","","Graduate Professional","Other","","",""
