"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"AE","Delhi","8","1","2008","12","0","4","1","JASWANT SINGH","M","INC","34662","GEN","109489","192649","NERELA","GEN","NORTH WEST DELHI","12","56.83","31.66","no","835","0.76","3.7","AEDL101586","","3482","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","55","NORTH WEST DELHI","","","","12th Pass","Other","","",""
"AE","Delhi","8","1","2008","12","0","4","2","SHARAD KUMAR","M","BSP","33827","GEN","109489","192649","NERELA","GEN","NORTH WEST DELHI","12","56.83","30.9","no","4075","3.72","3.7","AEDL101587","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","33","NORTH WEST DELHI","","","","10th Pass","Other","","",""
"AE","Delhi","8","1","2008","12","0","4","3","AJIT SINGH","M","BJP","29752","GEN","109489","192649","NERELA","GEN","NORTH WEST DELHI","12","56.83","27.17","no","24711","22.57","3.7","AEDL103422","","1605","TRUE","3","BJP","1605","R.K.PURAM","FALSE","TRUE","0","FALSE","FALSE","TRUE","43","NORTH WEST DELHI","","","","12th Pass","Other","","",""
"AE","Delhi","8","1","2008","12","0","4","4","RAJ SINGH KHATRI","M","IND","5041","GEN","109489","192649","NERELA","GEN","NORTH WEST DELHI","12","56.83","4.6","yes","3337","3.05","3.7","AEDL101589","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","61","NORTH WEST DELHI","","","","Graduate","Other","","",""
"AE","Delhi","8","1","2008","12","0","4","5","AMIT KUMAR","M","LJP","1704","GEN","109489","192649","NERELA","GEN","NORTH WEST DELHI","12","56.83","1.56","yes","626","0.57","3.7","AEDL101590","","5029","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","26","NORTH WEST DELHI","","","","8th Pass","Other","","",""
"AE","Delhi","8","1","2008","12","0","4","6","KULDEEP","M","RJD","1078","GEN","109489","192649","NERELA","GEN","NORTH WEST DELHI","12","56.83","0.98","yes","153","0.14","3.7","AEDL101591","","12103","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","31","NORTH WEST DELHI","","","","10th Pass","Other","","",""
"AE","Delhi","8","1","2008","12","0","4","7","RISHA","F","IND","925","SC","109489","192649","NERELA","GEN","NORTH WEST DELHI","12","56.83","0.84","yes","43","0.04","3.7","AEDL101592","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","35","NORTH WEST DELHI","","","","5th Pass","Other","","",""
"AE","Delhi","8","1","2008","12","0","4","8","SHYAM LAL","M","CPI(ML)(L)","882","GEN","109489","192649","NERELA","GEN","NORTH WEST DELHI","12","56.83","0.81","yes","398","0.36","3.7","AEDL101593","","2472","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","57","NORTH WEST DELHI","","","","12th Pass","Other","","",""
"AE","Delhi","8","1","2008","12","0","4","9","HARIOM SHARMA","M","SP","484","GEN","109489","192649","NERELA","GEN","NORTH WEST DELHI","12","56.83","0.44","yes","47","0.04","3.7","AEDL101594","","7425","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","25","NORTH WEST DELHI","","","","Graduate","Other","","",""
"AE","Delhi","8","1","2008","12","0","4","10","VISHAL","M","RWS","437","GEN","109489","192649","NERELA","GEN","NORTH WEST DELHI","12","56.83","0.4","yes","60","0.05","3.7","AEDL101595","","6394","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","52","NORTH WEST DELHI","","","","Literate","Other","","",""
"AE","Delhi","8","1","2008","12","0","4","11","ANIL KUMAR","M","IND","377","GEN","109489","192649","NERELA","GEN","NORTH WEST DELHI","12","56.83","0.34","yes","57","0.05","3.7","AEDL101596","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","36","NORTH WEST DELHI","","","","Graduate Professional","Other","","",""
"AE","Delhi","8","1","2008","12","0","4","12","RAGHBIR SINGH","M","IND","320","GEN","109489","192649","NERELA","GEN","NORTH WEST DELHI","12","56.83","0.29","yes","0","0","3.7","AEDL101597","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","65","NORTH WEST DELHI","","","","10th Pass","Other","","",""
"AE","Delhi","8","2","2008","12","0","4","1","SHRI KRISHAN","M","BJP","31997","GEN","106326","190130","BURARI","GEN","NORTH EAST DELHI","24","55.92","30.09","no","4986","4.69","5.26","AEDL101598","","1605","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","51","NORTH EAST DELHI","","","","12th Pass","Other","","",""
"AE","Delhi","8","2","2008","12","0","4","2","DEEPAK TYAGI","M","INC","27011","GEN","106326","190130","BURARI","GEN","NORTH EAST DELHI","24","55.92","25.4","no","9238","8.69","5.26","AEDL101599","","3482","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","39","NORTH EAST DELHI","","","","Graduate","Other","","",""
"AE","Delhi","8","2","2008","12","0","4","3","VINOD NAGAR","M","LJP","17773","GEN","106326","190130","BURARI","GEN","NORTH EAST DELHI","24","55.92","16.72","no","5021","4.72","5.26","AEDL103232","","5029","TRUE","2","LJNSP","5029","MODEL TOWN","FALSE","TRUE","0","FALSE","FALSE","TRUE","43","NORTH EAST DELHI","","","","12th Pass","Other","","",""
"AE","Delhi","8","2","2008","12","0","4","4","ANAND OHAN JOSHI","M","BSP","12752","GEN","106326","190130","BURARI","GEN","NORTH EAST DELHI","24","55.92","11.99","yes","8058","7.58","5.26","AEDL101601","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","29","NORTH EAST DELHI","","","","","Other","","",""
"AE","Delhi","8","2","2008","12","0","4","5","RAM KISHORE TYAGI","M","NCP","4694","GEN","106326","190130","BURARI","GEN","NORTH EAST DELHI","24","55.92","4.41","yes","2111","1.99","5.26","AEDL101602","","5792","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","56","NORTH EAST DELHI","","","","","Other","","",""
"AE","Delhi","8","2","2008","12","0","4","6","MANOJ KUMAR","M","RJD","2583","GEN","106326","190130","BURARI","GEN","NORTH EAST DELHI","24","55.92","2.43","yes","1186","1.12","5.26","AEDL101603","","12103","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","25","NORTH EAST DELHI","","","","12th Pass","Other","","",""
