"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"AE","Goa","6","1","2012","3","0","4","1","LAXMIKANT PARSEKAR","M","BJP","11955","GEN","25928","29364","MANDREM","GEN","NORTH GOA","6","88.3","46.11","no","3435","13.25","2.86","AEGA83586","","1605","TRUE","5","BJP","1605","MANDREM","TRUE","TRUE","3","FALSE","TRUE","TRUE","56","NORTH GOA","","","","Post Graduate","Agriculture","","",""
"AE","Goa","6","1","2012","3","0","4","2","DAYANAND RAGHUNATH SOPTE","M","INC","8520","GEN","25928","29364","MANDREM","GEN","NORTH GOA","6","88.3","32.86","no","3929","15.15","2.86","AEGA82832","","3482","TRUE","3","BJP","1605","PERNEM","FALSE","FALSE","1","TRUE","TRUE","TRUE","48","NORTH GOA","","","","Graduate","Business","Real Estate or Builder or Developer or Construction","",""
"AE","Goa","6","1","2012","3","0","4","3","SAMEER SALGAOCAR","M","AITC","4591","GEN","25928","29364","MANDREM","GEN","NORTH GOA","6","88.3","17.71","no","4296","16.57","2.86","AEGA82403","","18228","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","42","NORTH GOA","","","","Graduate","Business","","",""
"AE","Goa","6","1","2012","3","0","4","4","MENINO FRANCIS MONTEIRO","M","GVP","295","GEN","25928","29364","MANDREM","GEN","NORTH GOA","6","88.3","1.14","yes","3","0.01","2.86","AEGA82404","","3105","TRUE","2","UGDP","8392","MANDREM","TRUE","FALSE","0","TRUE","FALSE","TRUE","51","NORTH GOA","","","","10th Pass","Business","","",""
"AE","Goa","6","1","2012","3","0","4","5","SANJAY PRABHU DESSAI","M","IND","292","GEN","25928","29364","MANDREM","GEN","NORTH GOA","6","88.3","1.13","yes","17","0.07","2.86","AEGA82405","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","65","NORTH GOA","","","","10th Pass","Retired or Pension","","Social Work",""
"AE","Goa","6","1","2012","3","0","4","6","SANJAY DAMU KOLE","M","SJP(R)","275","GEN","25928","29364","MANDREM","GEN","NORTH GOA","6","88.3","1.06","yes","0","0","2.86","AEGA82406","","7408","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","38","NORTH GOA","","","","8th Pass","Business","","",""
"AE","Goa","6","2","2012","3","0","4","1","RAJENDRA ARLEKAR","M","BJP","16406","SC","25890","29515","PERNEM","SC","NORTH GOA","9","87.72","63.37","no","8353","32.26","2","AEGA82754","","1605","TRUE","4","BJP","1605","VASCO DA GAMA","FALSE","TRUE","2","FALSE","FALSE","TRUE","56","NORTH GOA","","","","Graduate","Business","Trader","Small Business or Self-employed","Self-employed"
"AE","Goa","6","2","2012","3","0","4","2","MANOHAR TRIMBAK AJGAOANKAR","M","INC","8053","SC","25890","29515","PERNEM","SC","NORTH GOA","9","87.72","31.1","no","7229","27.92","2","AEGA83072","","3482","TRUE","4","INC","3482","DARGALIM","FALSE","TRUE","3","FALSE","TRUE","TRUE","58","NORTH GOA","","","","10th Pass","Business","","",""
"AE","Goa","6","2","2012","3","0","4","3","SUBHASH BARKELO KERKAR","M","IND","824","SC","25890","29515","PERNEM","SC","NORTH GOA","9","87.72","3.18","yes","632","2.44","2","AEGA82409","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","37","NORTH GOA","","","","Others","Other","","",""
"AE","Goa","6","2","2012","3","0","4","4","SAKHARAM VISHRAM KORGAONKAR","M","IND","192","SC","25890","29515","PERNEM","SC","NORTH GOA","9","87.72","0.74","yes","41","0.16","2","AEGA82410","","10809","TRUE","2","RPI(A)","12285","DARGALIM","FALSE","FALSE","0","FALSE","FALSE","TRUE","61","NORTH GOA","","","","","","","",""
