"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"AE","Haryana","11","1","2009","10","0","4","1","PARDEEP CHAUDHARY","M","INLD","41625","GEN","94631","122579","KALKA","GEN","AMBALA DIVISION","11","77.2","43.99","no","21187","22.39","3.7","AEHR9685","","3863","TRUE","2","INLD","3863","KALKA","TRUE","TRUE","1","FALSE","FALSE","TRUE","48","PANCHKULA","","","","Graduate","Other","","",""
"AE","Haryana","11","1","2009","10","0","4","2","SATVINDER SINGH RANA","M","INC","20438","GEN","94631","122579","KALKA","GEN","AMBALA DIVISION","11","77.2","21.6","no","3667","3.88","3.7","AEHR5174","","3482","TRUE","5","INC","3482","RAJOND","FALSE","TRUE","2","FALSE","TRUE","TRUE","52","PANCHKULA","","","","Graduate","Other","","",""
"AE","Haryana","11","1","2009","10","0","4","3","BHAGAT SINGH","M","IND","16771","GEN","94631","122579","KALKA","GEN","AMBALA DIVISION","11","77.2","17.72","no","11796","12.47","3.7","AEHR10673","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","65","PANCHKULA","","","","Graduate","Other","","",""
"AE","Haryana","11","1","2009","10","0","4","4","VIJAY BANSAL","M","BSP","4975","GEN","94631","122579","KALKA","GEN","AMBALA DIVISION","11","77.2","5.26","yes","121","0.13","3.7","AEHR10671","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","45","PANCHKULA","","","","","Other","","",""
"AE","Haryana","11","1","2009","10","0","4","5","RAM GOPAL MEHTA","M","HJCBL","4854","GEN","94631","122579","KALKA","GEN","AMBALA DIVISION","11","77.2","5.13","yes","2092","2.21","3.7","AEHR10672","","3185","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","58","PANCHKULA","","","","","","","",""
"AE","Haryana","11","1","2009","10","0","4","6","VIRANDER SINGH (BHAU)","M","IND","2762","GEN","94631","122579","KALKA","GEN","AMBALA DIVISION","11","77.2","2.92","yes","804","0.85","3.7","AEHR10667","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","57","PANCHKULA","","","","","","","",""
"AE","Haryana","11","1","2009","10","0","4","7","VIRENDER SINGH","M","BJP","1958","GEN","94631","122579","KALKA","GEN","AMBALA DIVISION","11","77.2","2.07","yes","1629","1.72","3.7","AEHR10670","","1605","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","40","PANCHKULA","","","","","Other","","",""
"AE","Haryana","11","1","2009","10","0","4","8","RAM PHAL","M","NCP","329","GEN","94631","122579","KALKA","GEN","AMBALA DIVISION","11","77.2","0.35","yes","7","0.01","3.7","AEHR10674","","5792","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","56","PANCHKULA","","","","Graduate","Other","","",""
"AE","Haryana","11","1","2009","10","0","4","9","MANOJ KUMAR","M","IJP","322","GEN","94631","122579","KALKA","GEN","AMBALA DIVISION","11","77.2","0.34","yes","1","0","3.7","AEHR10666","","3430","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","36","PANCHKULA","","","","12th Pass","Other","","",""
"AE","Haryana","11","1","2009","10","0","4","10","AMIT KUMAR SHARMA","M","IND","321","GEN","94631","122579","KALKA","GEN","AMBALA DIVISION","11","77.2","0.34","yes","45","0.05","3.7","AEHR10668","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","42","PANCHKULA","","","","12th Pass","Other","","",""
"AE","Haryana","11","1","2009","10","0","4","11","NARINDER NATH SHARMA","M","IND","276","GEN","94631","122579","KALKA","GEN","AMBALA DIVISION","11","77.2","0.29","yes","0","0","3.7","AEHR10669","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","54","PANCHKULA","","","","","","","",""
"AE","Haryana","11","2","2009","10","0","4","1","DEVENDER KUMAR BANSAL","M","INC","29192","GEN","82551","143985","PANCHKULA","GEN","AMBALA DIVISION","14","57.33","35.36","no","12260","14.85","4.35","AEHR9750","","3482","TRUE","2","INC","3482","AMBALA CANTONMENT","FALSE","TRUE","2","FALSE","TRUE","TRUE","43","PANCHKULA","","","","Graduate Professional","Other","","",""
"AE","Haryana","11","2","2009","10","0","4","2","YOGRAJ SINGH","M","INLD","16932","GEN","82551","143985","PANCHKULA","GEN","AMBALA DIVISION","14","57.33","20.51","no","1215","1.47","4.35","AEHR10688","","3863","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","51","PANCHKULA","","","","10th Pass","Other","","",""
"AE","Haryana","11","2","2009","10","0","4","3","GIAN CHAND","M","BJP","15717","GEN","82551","143985","PANCHKULA","GEN","AMBALA DIVISION","14","57.33","19.04","no","2795","3.39","4.35","AEHR10690","","1605","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","61","PANCHKULA","","","","12th Pass","Other","","",""
"AE","Haryana","11","2","2009","10","0","4","4","SHASHI SHARMA","M","HJCBL","12922","GEN","82551","143985","PANCHKULA","GEN","AMBALA DIVISION","14","57.33","15.65","yes","9745","11.8","4.35","AEHR10677","","3185","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","46","PANCHKULA","","","","","","","",""
"AE","Haryana","11","2","2009","10","0","4","5","SANJEEV BHARDWAJ","M","BSP","3177","GEN","82551","143985","PANCHKULA","GEN","AMBALA DIVISION","14","57.33","3.85","yes","2009","2.43","4.35","AEHR10687","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","47","PANCHKULA","","","","Graduate","Other","","",""
"AE","Haryana","11","2","2009","10","0","4","6","HARENDER SINGH","M","IND","1168","GEN","82551","143985","PANCHKULA","GEN","AMBALA DIVISION","14","57.33","1.41","yes","235","0.28","4.35","AEHR10684","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","44","PANCHKULA","","","","8th Pass","Other","","",""
