"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"AE","Himachal_Pradesh","12","1","2012","12","0","4","1","HANS RAJ","M","BJP","24978","SC","48544","61120","CHURAH","SC","BEAS RIVER REGION","3","79.42","51.45","no","2211","4.55","2.08","AEHP3607","","1605","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","29","CHAMBA","","","","Post Graduate","Politics","Panchayat Member","",""
"AE","Himachal_Pradesh","12","1","2012","12","0","4","2","SURINDER BHARDWAJ","M","INC","22767","SC","48544","61120","CHURAH","SC","BEAS RIVER REGION","3","79.42","46.9","no","21968","45.25","2.08","AEHP3608","","3482","TRUE","3","INC","3482","RAJNAGAR","FALSE","TRUE","2","FALSE","TRUE","TRUE","64","CHAMBA","","","","Graduate Professional","Social Work","","",""
"AE","Himachal_Pradesh","12","1","2012","12","0","4","3","KISHAN CHAND","M","BSP","799","SC","48544","61120","CHURAH","SC","BEAS RIVER REGION","3","79.42","1.65","yes","0","0","2.08","AEHP3609","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","37","CHAMBA","","","","","","","",""
"AE","Himachal_Pradesh","12","2","2012","12","0","4","1","THAKUR SINGH BHARMOURI","M","INC","24751","ST","48199","63710","BHARMOUR","ST","BEAS RIVER REGION","5","75.65","51.35","no","3467","7.19","2.17","AEHP3614","","3482","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","65","CHAMBA","","","","Graduate","Agriculture","","Social Work",""
"AE","Himachal_Pradesh","12","2","2012","12","0","4","2","JIA LAL","M","BJP","21284","ST","48199","63710","BHARMOUR","ST","BEAS RIVER REGION","5","75.65","44.16","no","20391","42.31","2.17","AEHP3612","","1605","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","48","CHAMBA","","","","10th Pass","Business","Contractor","Agriculture",""
"AE","Himachal_Pradesh","12","2","2012","12","0","4","3","MAHINDER SINGH","M","IND","893","ST","48199","63710","BHARMOUR","ST","BEAS RIVER REGION","5","75.65","1.85","yes","76","0.16","2.17","AEHP3613","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","41","CHAMBA","","","","Graduate","Social Work","","",""
"AE","Himachal_Pradesh","12","2","2012","12","0","4","4","KISHORI LAL","M","BSP","817","ST","48199","63710","BHARMOUR","ST","BEAS RIVER REGION","5","75.65","1.7","yes","363","0.75","2.17","AEHP4107","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","41","CHAMBA","","","","","","","",""
"AE","Himachal_Pradesh","12","2","2012","12","0","4","5","MADAN LAL BARYAL","M","NCP","454","ST","48199","63710","BHARMOUR","ST","BEAS RIVER REGION","5","75.65","0.94","yes","0","0","2.17","AEHP3610","","5792","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","61","CHAMBA","","","","Post Graduate","Agriculture","","",""
"AE","Himachal_Pradesh","12","3","2012","12","0","4","1","B. K. CHAUHAN","M","BJP","19714","GEN","51022","68283","CHAMBA","GEN","BEAS RIVER REGION","8","74.72","38.64","no","1934","3.79","3.23","AEHP3178","","1605","TRUE","3","BJP","1605","CHAMBA","TRUE","TRUE","2","FALSE","TRUE","TRUE","65","CHAMBA","","","","Post Graduate","Former Government","Ex Civil Service","",""
"AE","Himachal_Pradesh","12","3","2012","12","0","4","2","PAWAN NAYYAR","M","INC","17780","GEN","51022","68283","CHAMBA","GEN","BEAS RIVER REGION","8","74.72","34.85","no","6967","13.65","3.23","AEHP3529","","3482","TRUE","2","INC","3482","CHAMBA","TRUE","TRUE","0","FALSE","FALSE","TRUE","60","CHAMBA","","","","Graduate","Business","Contractor","",""
"AE","Himachal_Pradesh","12","3","2012","12","0","4","3","RAJ SINGH","M","IND","10813","GEN","51022","68283","CHAMBA","GEN","BEAS RIVER REGION","8","74.72","21.19","no","9503","18.63","3.23","AEHP3617","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","39","CHAMBA","","","","10th Pass","Business","Contractor","",""
"AE","Himachal_Pradesh","12","3","2012","12","0","4","4","RATTAN CHAND","M","CPI","1310","GEN","51022","68283","CHAMBA","GEN","BEAS RIVER REGION","8","74.72","2.57","yes","828","1.62","3.23","AEHP1571","","2444","TRUE","2","CPI","2444","CHAMBA","TRUE","TRUE","0","FALSE","FALSE","FALSE","67","CHAMBA","","","","10th Pass","Agriculture","","",""
"AE","Himachal_Pradesh","12","3","2012","12","0","4","5","NOORDEEN NOORANI","M","BSP","482","ST","51022","68283","CHAMBA","GEN","BEAS RIVER REGION","8","74.72","0.94","yes","94","0.18","3.23","AEHP3622","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","26","CHAMBA","","","","10th Pass","Other","","",""
"AE","Himachal_Pradesh","12","3","2012","12","0","4","6","ANITA THAKUR","F","IND","388","ST","51022","68283","CHAMBA","GEN","BEAS RIVER REGION","8","74.72","0.76","yes","34","0.07","3.23","AEHP3616","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","50","CHAMBA","","","","Graduate Professional","Liberal Profession or Professional","Lawyer","",""
"AE","Himachal_Pradesh","12","3","2012","12","0","4","7","C.L.THAKUR","M","IND","354","GEN","51022","68283","CHAMBA","GEN","BEAS RIVER REGION","8","74.72","0.69","yes","173","0.34","3.23","AEHP3615","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","41","CHAMBA","","","","","","","",""
"AE","Himachal_Pradesh","12","3","2012","12","0","4","8","RUMESH KUMAR","M","SP","181","ST","51022","68283","CHAMBA","GEN","BEAS RIVER REGION","8","74.72","0.35","yes","0","0","3.23","AEHP3619","","7425","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","37","CHAMBA","","","","5th Pass","Small Business or Self-employed","Unspecified","",""
"AE","Himachal_Pradesh","12","4","2012","12","0","4","1","ASHA KUMARI","F","INC","25541","GEN","46123","60828","DALHOUSIE","GEN","BEAS RIVER REGION","5","75.83","55.38","no","7365","15.97","2.13","AEHP1559","","3482","TRUE","7","INC","3482","BANIKHET","FALSE","TRUE","5","FALSE","FALSE","TRUE","57","CHAMBA","","","","Graduate","Other","Household","",""
"AE","Himachal_Pradesh","12","4","2012","12","0","4","2","RENU","F","BJP","18176","GEN","46123","60828","DALHOUSIE","GEN","BEAS RIVER REGION","5","75.83","39.41","no","16866","36.57","2.13","AEHP2765","","1605","TRUE","4","BJP","1605","BANIKHET","FALSE","TRUE","1","FALSE","TRUE","TRUE","63","CHAMBA","","","","12th Pass","Business","","",""
"AE","Himachal_Pradesh","12","4","2012","12","0","4","3","TILAK RAJ","M","CPI","1310","GEN","46123","60828","DALHOUSIE","GEN","BEAS RIVER REGION","5","75.83","2.84","yes","482","1.05","2.13","AEHP4185","","2444","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","60","CHAMBA","","","","12th Pass","Other","","",""
"AE","Himachal_Pradesh","12","4","2012","12","0","4","4","SHALENDER THAKUR","M","IND","828","GEN","46123","60828","DALHOUSIE","GEN","BEAS RIVER REGION","5","75.83","1.8","yes","560","1.21","2.13","AEHP3625","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","38","CHAMBA","","","","Graduate Professional","Liberal Profession or Professional","Lawyer","",""
"AE","Himachal_Pradesh","12","4","2012","12","0","4","5","PARAS RAM","M","BSP","268","SC","46123","60828","DALHOUSIE","GEN","BEAS RIVER REGION","5","75.83","0.58","yes","0","0","2.13","AEHP3627","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","38","CHAMBA","","","","12th Pass","Agriculture","","",""
"AE","Himachal_Pradesh","12","5","2012","12","0","4","1","BIKRAM SINGH JARYAL","M","BJP","18098","ST","47946","65199","BHATTIYAT","GEN","BEAS RIVER REGION","6","73.54","37.75","no","111","0.23","3.12","AEHP3518","","1605","TRUE","2","IND","10809","BHATTIYAT","TRUE","FALSE","1","FALSE","FALSE","TRUE","51","CHAMBA","","","","Graduate","Former Government","Ex Military","",""
"AE","Himachal_Pradesh","12","5","2012","12","0","4","2","KULDEEP SINGH PATHANIA","M","INC","17987","GEN","47946","65199","BHATTIYAT","GEN","BEAS RIVER REGION","6","73.54","37.52","no","8117","16.93","3.12","AEHP300976","","3482","TRUE","10","INC","3482","BHATTIYAT","TRUE","TRUE","4","FALSE","TRUE","TRUE","55","CHAMBA","","","","","","","",""
"AE","Himachal_Pradesh","12","5","2012","12","0","4","3","BHUPINDER SINGH CHAUHAN","M","IND","9870","GEN","47946","65199","BHATTIYAT","GEN","BEAS RIVER REGION","6","73.54","20.59","no","8910","18.58","3.12","AEHP3162","","10809","TRUE","3","BJP","1605","BHATTIYAT","TRUE","FALSE","0","FALSE","FALSE","TRUE","67","CHAMBA","","","","","","","",""
"AE","Himachal_Pradesh","12","5","2012","12","0","4","4","SUDESH KUMARI","F","CPM","960","GEN","47946","65199","BHATTIYAT","GEN","BEAS RIVER REGION","6","73.54","2","yes","411","0.86","3.12","AEHP3108","","14635","TRUE","2","LJNSP","5029","RAJGIR","FALSE","FALSE","0","TRUE","FALSE","FALSE","39","CHAMBA","","","","Graduate","Salaried Work or Employed","Insurance Agent","",""
"AE","Himachal_Pradesh","12","5","2012","12","0","4","5","SUSHIL KUMAR DHIMAN","M","IND","549","SC","47946","65199","BHATTIYAT","GEN","BEAS RIVER REGION","6","73.54","1.15","yes","67","0.14","3.12","AEHP3631","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","47","CHAMBA","","","","","","","",""
"AE","Himachal_Pradesh","12","5","2012","12","0","4","6","KALU RAM","M","BSP","482","SC","47946","65199","BHATTIYAT","GEN","BEAS RIVER REGION","6","73.54","1.01","yes","0","0","3.12","AEHP2761","","16651","TRUE","3","BSP","16651","BHATTIYAT","TRUE","TRUE","0","FALSE","FALSE","TRUE","73","CHAMBA","","","","10th Pass","Other","","",""
"AE","Himachal_Pradesh","12","6","2012","12","0","4","1","AJAY MAHAJAN","M","INC","26546","GEN","57277","74679","NURPUR","GEN","BEAS RIVER REGION","5","76.7","46.35","no","3367","5.88","2.63","AEHP3434","","3482","TRUE","2","INC","3482","NURPUR","TRUE","TRUE","1","FALSE","FALSE","TRUE","54","KANGRA","","","","Graduate","Business","","",""
"AE","Himachal_Pradesh","12","6","2012","12","0","4","2","RAKESH PATHANIA","M","IND","23179","GEN","57277","74679","NURPUR","GEN","BEAS RIVER REGION","5","76.7","40.47","no","16311","28.48","2.63","AEHP100123","","10809","TRUE","5","IND","10809","NURPUR","TRUE","TRUE","2","FALSE","TRUE","TRUE","48","KANGRA","","","","12th Pass","Other","","",""
"AE","Himachal_Pradesh","12","6","2012","12","0","4","3","RANBIR SINGH NIKKA","M","BJP","6868","GEN","57277","74679","NURPUR","GEN","BEAS RIVER REGION","5","76.7","11.99","yes","6522","11.39","2.63","AEHP3636","","1605","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","33","KANGRA","","","","10th Pass","Business","","",""
"AE","Himachal_Pradesh","12","6","2012","12","0","4","4","SALI RAM","M","BSP","346","SC","57277","74679","NURPUR","GEN","BEAS RIVER REGION","5","76.7","0.6","yes","8","0.01","2.63","AEHP3635","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","47","KANGRA","","","","10th Pass","Agriculture","","",""
"AE","Himachal_Pradesh","12","6","2012","12","0","4","5","N.S PATHANIA (COL. RETD.)","M","HiSP","338","GEN","57277","74679","NURPUR","GEN","BEAS RIVER REGION","5","76.7","0.59","yes","0","0","2.63","AEHP3637","","3219","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","59","KANGRA","","","","Graduate Professional","Other","","",""
"AE","Himachal_Pradesh","12","7","2012","12","0","4","1","MANOHAR DHIMAN","M","IND","21424","SC","53431","74073","INDORA","SC","BEAS RIVER REGION","7","72.13","40.1","no","7369","13.79","3.45","AEHP3640","","10809","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","55","KANGRA","","","","","","","",""
"AE","Himachal_Pradesh","12","7","2012","12","0","4","2","KAMAL KISHOR","M","INC","14055","SC","53431","74073","INDORA","SC","BEAS RIVER REGION","7","72.13","26.3","no","2431","4.55","3.45","AEHP3639","","3482","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","58","KANGRA","","","","Graduate Professional","Other","","",""
"AE","Himachal_Pradesh","12","7","2012","12","0","4","3","REETA DEVI","F","BJP","11624","SC","53431","74073","INDORA","SC","BEAS RIVER REGION","7","72.13","21.76","no","7680","14.37","3.45","AEHP3642","","1605","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","36","KANGRA","","","","10th Pass","Other","Household","",""
"AE","Himachal_Pradesh","12","7","2012","12","0","4","4","MALENDER RAJAN","M","IND","3944","SC","53431","74073","INDORA","SC","BEAS RIVER REGION","7","72.13","7.38","yes","2763","5.17","3.45","AEHP3643","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","39","KANGRA","","","","Post Graduate","Business","Contractor","",""
"AE","Himachal_Pradesh","12","7","2012","12","0","4","5","PIARA SINGH","M","BSP","1181","SC","53431","74073","INDORA","SC","BEAS RIVER REGION","7","72.13","2.21","yes","447","0.84","3.45","AEHP3644","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","64","KANGRA","","","","10th Pass","Agriculture","","",""
"AE","Himachal_Pradesh","12","7","2012","12","0","4","6","TILAK RAJ","M","NCP","734","SC","53431","74073","INDORA","SC","BEAS RIVER REGION","7","72.13","1.37","yes","265","0.5","3.45","AEHP301979","","5792","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","53","KANGRA","","","","8th Pass","Business","","",""
"AE","Himachal_Pradesh","12","7","2012","12","0","4","7","SUKHBINDER KUMAR","M","BHBP","469","SC","53431","74073","INDORA","SC","BEAS RIVER REGION","7","72.13","0.88","yes","0","0","3.45","AEHP3645","","1365","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","29","KANGRA","","","","10th Pass","Other","","",""
"AE","Himachal_Pradesh","12","8","2012","12","0","4","1","SUJAN SINGH PATHANIA","M","INC","18662","GEN","50898","72676","FATEHPUR","GEN","BEAS RIVER REGION","8","70.03","36.67","no","7217","14.18","4.35","AEHP2683","","3482","TRUE","9","INC","3482","JAWALI","FALSE","TRUE","5","FALSE","FALSE","TRUE","71","KANGRA","","","","Graduate","Agriculture","","",""
"AE","Himachal_Pradesh","12","8","2012","12","0","4","2","BALDEV THAKUR","M","BJP","11445","GEN","50898","72676","FATEHPUR","GEN","BEAS RIVER REGION","8","70.03","22.49","no","2110","4.15","4.35","AEHP3648","","1605","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","43","KANGRA","","","","12th Pass","Agriculture","","",""
"AE","Himachal_Pradesh","12","8","2012","12","0","4","3","SUDHA SUSHANT","F","IND","9335","GEN","50898","72676","FATEHPUR","GEN","BEAS RIVER REGION","8","70.03","18.34","no","4343","8.53","4.35","AEHP3646","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","52","KANGRA","","","","Doctorate","Other","","",""
"AE","Himachal_Pradesh","12","8","2012","12","0","4","4","PANKAJ SHARMA (HAPPY)","M","IND","4992","GEN","50898","72676","FATEHPUR","GEN","BEAS RIVER REGION","8","70.03","9.81","yes","8","0.02","4.35","AEHP3651","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","35","KANGRA","","","","","","","",""
"AE","Himachal_Pradesh","12","8","2012","12","0","4","5","OM PARKASH","M","BSP","4984","GEN","50898","72676","FATEHPUR","GEN","BEAS RIVER REGION","8","70.03","9.79","yes","4180","8.21","4.35","AEHP3652","","16651","TRUE","2","IND","10809","GULER","FALSE","FALSE","0","FALSE","FALSE","TRUE","53","KANGRA","","","","Graduate Professional","Small Business or Self-employed","Shop Keeper","",""
"AE","Himachal_Pradesh","12","8","2012","12","0","4","6","DR. ASHOK KUMAR SOMAL","M","IND","804","GEN","50898","72676","FATEHPUR","GEN","BEAS RIVER REGION","8","70.03","1.58","yes","459","0.9","4.35","AEHP3653","","10809","TRUE","2","IND","10809","JAWALI","FALSE","TRUE","0","FALSE","FALSE","TRUE","54","KANGRA","","","","Doctorate","Other","","",""
"AE","Himachal_Pradesh","12","8","2012","12","0","4","7","RAMESH DUTT (BHOLA)","M","IND","345","GEN","50898","72676","FATEHPUR","GEN","BEAS RIVER REGION","8","70.03","0.68","yes","14","0.03","4.35","AEHP3650","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","36","KANGRA","","","","","","","",""
"AE","Himachal_Pradesh","12","8","2012","12","0","4","8","PAWAN SINGH","M","IND","331","SC","50898","72676","FATEHPUR","GEN","BEAS RIVER REGION","8","70.03","0.65","yes","0","0","4.35","AEHP3649","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","38","KANGRA","","","","10th Pass","Other","","",""
"AE","Himachal_Pradesh","12","9","2012","12","0","4","1","NEERAJ BHARTI","M","INC","23798","GEN","57257","80874","JAWALI","GEN","BEAS RIVER REGION","9","70.8","41.56","no","4434","7.74","3.12","AEHP100138","","3482","TRUE","3","INC","3482","GULER","FALSE","TRUE","2","FALSE","TRUE","TRUE","34","KANGRA","","","","Graduate Professional","Politics","MLA","",""
"AE","Himachal_Pradesh","12","9","2012","12","0","4","2","ARJAN SINGH","M","BJP","19364","GEN","57257","80874","JAWALI","GEN","BEAS RIVER REGION","9","70.8","33.82","no","8440","14.74","3.12","AEHP3655","","1605","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","49","KANGRA","","","","Post Graduate","Agriculture","","",""
"AE","Himachal_Pradesh","12","9","2012","12","0","4","3","SANJAY KUMAR GULERIA","M","IND","10924","GEN","57257","80874","JAWALI","GEN","BEAS RIVER REGION","9","70.8","19.08","no","9703","16.95","3.12","AEHP3656","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","50","KANGRA","","","","Post Graduate","Small Business or Self-employed","Self-employed","",""
"AE","Himachal_Pradesh","12","9","2012","12","0","4","4","SUSHIL SHARMA","M","IND","1221","GEN","57257","80874","JAWALI","GEN","BEAS RIVER REGION","9","70.8","2.13","yes","528","0.92","3.12","AEHP3657","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","46","KANGRA","","","","","","","",""
