"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"AE","Jammu_&_Kashmir","9","1","2008","12","0","4","1","KAFIL UR REHMAN","M","JKN","4110","GEN","21458","26941","KARNAH","GEN","KASHMIR","14","79.65","19.15","no","1148","5.35","7.69","AEJK103103","","11089","TRUE","3","JKN","11089","KARNAH","TRUE","TRUE","3","FALSE","TRUE","TRUE","53","KUPWARA","","","","","","","",""
"AE","Jammu_&_Kashmir","9","1","2008","12","0","4","2","AB REHMAN BHADANA","M","JKANC","2962","ST","21458","26941","KARNAH","GEN","KASHMIR","14","79.65","13.8","yes","51","0.24","7.69","AEJK103104","","4064","TRUE","2","JD","4217","KARNAH","TRUE","FALSE","0","TRUE","FALSE","FALSE","66","KUPWARA","","","","","","","",""
"AE","Jammu_&_Kashmir","9","1","2008","12","0","4","3","JAVID AHMAD MIRCHAL","M","SDP","2911","GEN","21458","26941","KARNAH","GEN","KASHMIR","14","79.65","13.57","yes","269","1.25","7.69","AEJK100955","","12552","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","30","KUPWARA","","","","","","","",""
"AE","Jammu_&_Kashmir","9","1","2008","12","0","4","4","ALI ASGAR KHAN","M","IND","2642","GEN","21458","26941","KARNAH","GEN","KASHMIR","14","79.65","12.31","yes","26","0.12","7.69","AEJK100956","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","69","KUPWARA","","","","","","","",""
"AE","Jammu_&_Kashmir","9","1","2008","12","0","4","5","RAJA MANZOOR AHMAD KHAN","M","JKPDP","2616","GEN","21458","26941","KARNAH","GEN","KASHMIR","14","79.65","12.19","yes","371","1.73","7.69","AEJK100957","","11133","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","53","KUPWARA","","","","","Other","","",""
"AE","Jammu_&_Kashmir","9","1","2008","12","0","4","6","SYED YASIN SHAH","M","INC","2245","GEN","21458","26941","KARNAH","GEN","KASHMIR","14","79.65","10.46","yes","537","2.5","7.69","AEJK100958","","3482","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","60","KUPWARA","","","","","Other","","",""
"AE","Jammu_&_Kashmir","9","1","2008","12","0","4","7","MOHD ABASS","M","IND","1708","GEN","21458","26941","KARNAH","GEN","KASHMIR","14","79.65","7.96","yes","938","4.37","7.69","AEJK100959","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","57","KUPWARA","","","","","","","",""
"AE","Jammu_&_Kashmir","9","1","2008","12","0","4","8","MOHD NASEEM","M","IND","770","GEN","21458","26941","KARNAH","GEN","KASHMIR","14","79.65","3.59","yes","286","1.33","7.69","AEJK100960","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","48","KUPWARA","","","","","","","",""
"AE","Jammu_&_Kashmir","9","1","2008","12","0","4","9","ZIYAFAT LONE","M","IND","484","GEN","21458","26941","KARNAH","GEN","KASHMIR","14","79.65","2.26","yes","189","0.88","7.69","AEJK100961","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","28","KUPWARA","","","","","","","",""
"AE","Jammu_&_Kashmir","9","1","2008","12","0","4","10","SHAHNAZ AHMAD","M","IND","295","GEN","21458","26941","KARNAH","GEN","KASHMIR","14","79.65","1.37","yes","69","0.32","7.69","AEJK100962","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","34","KUPWARA","","","","","","","",""
