"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"AE","Karnataka","8","1","2008","5","0","4","1","KAKASO PANDURANG PATIL","M","INC","46070","GEN","128952","174283","NIPPANI","GEN","Bombay Karnataka","8","73.99","35.73","no","7487","5.81","3.33","AEKA618","","3482","TRUE","4","INC","3482","NIPPANI","TRUE","TRUE","3","FALSE","TRUE","TRUE","52","BELGAUM","","","","Graduate","Other","","",""
"AE","Karnataka","8","1","2008","5","0","4","2","JOLLE SHASHIKALA ANNASAHEB","F","BJP","38583","GEN","128952","174283","NIPPANI","GEN","Bombay Karnataka","8","73.99","29.92","no","2926","2.27","3.33","AEKA617","","1605","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","37","BELGAUM","","","","12th Pass","Other","","",""
"AE","Karnataka","8","1","2008","5","0","4","3","SUBHASH SHRIDHAR JOSHI","M","JD(S)","35657","GEN","128952","174283","NIPPANI","GEN","Bombay Karnataka","8","73.99","27.65","no","31475","24.41","3.33","AEKA3529","","10979","TRUE","6","BJP","1605","NIPPANI","TRUE","FALSE","2","TRUE","FALSE","TRUE","64","BELGAUM","","","","Post Graduate","Other","","",""
"AE","Karnataka","8","1","2008","5","0","4","4","KHOT RAVINDRA ANNASAHEB","M","BSP","4182","GEN","128952","174283","NIPPANI","GEN","Bombay Karnataka","8","73.99","3.24","yes","2107","1.63","3.33","AEKA3530","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","40","BELGAUM","","","","Graduate Professional","Other","","",""
"AE","Karnataka","8","1","2008","5","0","4","5","HARISH RAMACHANDRA TARALE","M","IND","2075","GEN","128952","174283","NIPPANI","GEN","Bombay Karnataka","8","73.99","1.61","yes","926","0.72","3.33","AEKA3531","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","44","BELGAUM","","","","","","","",""
"AE","Karnataka","8","1","2008","5","0","4","6","NAIKU ISHWAR KHOT","M","SP","1149","GEN","128952","174283","NIPPANI","GEN","Bombay Karnataka","8","73.99","0.89","yes","493","0.38","3.33","AEKA3532","","7425","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","50","BELGAUM","","","","Post Graduate","Other","","",""
"AE","Karnataka","8","1","2008","5","0","4","7","BALASAHEB DINAKARRAO JADHAV","M","IND","656","GEN","128952","174283","NIPPANI","GEN","Bombay Karnataka","8","73.99","0.51","yes","76","0.06","3.33","AEKA3533","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","57","BELGAUM","","","","","","","",""
"AE","Karnataka","8","1","2008","5","0","4","8","RAJASHREE RAVASAB GUNAKE","F","JD(U)","580","GEN","128952","174283","NIPPANI","GEN","Bombay Karnataka","8","73.99","0.45","yes","0","0","3.33","AEKA3534","","11002","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","40","BELGAUM","","","","10th Pass","Other","","",""
"AE","Karnataka","8","2","2008","5","0","4","1","HUKKERI PRAKASH BABANNA","M","INC","68575","GEN","125069","168481","CHIKKODI-SADALGA","GEN","Bombay Karnataka","9","74.23","54.83","no","24070","19.25","2.33","GEKA629","","3482","TRUE","4","INC","3482","SADALGA","FALSE","TRUE","4","FALSE","TRUE","TRUE","61","BELGAUM","","","","10th Pass","Other","","",""
"AE","Karnataka","8","2","2008","5","0","4","2","JIGAJINAGI RAMESH CHANDAPPA","M","BJP","44505","SC","125069","168481","CHIKKODI-SADALGA","GEN","Bombay Karnataka","9","74.23","35.58","no","39535","31.61","2.33","AEKA3535","","1605","TRUE","5","JD","4244","BALLOLLI","FALSE","FALSE","3","TRUE","FALSE","FALSE","55","BELGAUM","","","","Graduate","Other","","",""
"AE","Karnataka","8","2","2008","5","0","4","3","VEERASING ABASAB GHORPADE","M","BSP","4970","GEN","125069","168481","CHIKKODI-SADALGA","GEN","Bombay Karnataka","9","74.23","3.97","yes","2307","1.84","2.33","AEKA3536","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","43","BELGAUM","","","","12th Pass","Other","","",""
"AE","Karnataka","8","2","2008","5","0","4","4","KORE KIRAN GANAPATARAO","M","JD(S)","2663","GEN","125069","168481","CHIKKODI-SADALGA","GEN","Bombay Karnataka","9","74.23","2.13","yes","1204","0.96","2.33","AEKA3537","","10979","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","47","BELGAUM","","","","Graduate Professional","Other","","",""
"AE","Karnataka","8","2","2008","5","0","4","5","RAVASAB MALLAPPA GUNAKE","M","IND","1459","GEN","125069","168481","CHIKKODI-SADALGA","GEN","Bombay Karnataka","9","74.23","1.17","yes","141","0.11","2.33","AEKA3538","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","47","BELGAUM","","","","","","","",""
"AE","Karnataka","8","2","2008","5","0","4","6","RAVI B HAMPANNAWAR","M","RAHS","1318","GEN","125069","168481","CHIKKODI-SADALGA","GEN","Bombay Karnataka","9","74.23","1.05","yes","750","0.6","2.33","AEKA3539","","6475","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","47","BELGAUM","","","","","","","",""
"AE","Karnataka","8","2","2008","5","0","4","7","MAHADEVI BASAVANNEPPA INCHAL","F","IND","568","ST","125069","168481","CHIKKODI-SADALGA","GEN","Bombay Karnataka","9","74.23","0.45","yes","30","0.02","2.33","AEKA3540","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","26","BELGAUM","","","","","","","",""
"AE","Karnataka","8","2","2008","5","0","4","8","RAVINDRA APPASAB MALI","M","SP","538","GEN","125069","168481","CHIKKODI-SADALGA","GEN","Bombay Karnataka","9","74.23","0.43","yes","65","0.05","2.33","AEKA3541","","7425","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","31","BELGAUM","","","","5th Pass","Other","","",""
"AE","Karnataka","8","2","2008","5","0","4","9","CHANDRASHEKHAR BANDU PRABHAT","M","IND","473","SC","125069","168481","CHIKKODI-SADALGA","GEN","Bombay Karnataka","9","74.23","0.38","yes","0","0","2.33","AEKA3542","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","55","BELGAUM","","","","","","","",""
"AE","Karnataka","8","3","2008","5","0","4","1","LAXMAN SANGAPPA SAVADI","M","BJP","56847","GEN","123830","169256","ATHANI","GEN","Bombay Karnataka","7","73.16","45.91","no","21668","17.5","3.03","AEKA641","","1605","TRUE","3","BJP","1605","ATHANI","TRUE","TRUE","2","FALSE","TRUE","TRUE","48","BELGAUM","","","","8th Pass","Other","","",""
"AE","Karnataka","8","3","2008","5","0","4","2","KIRANA KUMAR TATYAGOUDA PATIL","M","INC","35179","GEN","123830","169256","ATHANI","GEN","Bombay Karnataka","7","73.16","28.41","no","11146","9","3.03","AEKA652","","3482","TRUE","2","INC","3482","KAGWAD","FALSE","TRUE","0","FALSE","FALSE","TRUE","48","BELGAUM","","","","10th Pass","Other","","",""
"AE","Karnataka","8","3","2008","5","0","4","3","BUTALI SADASHIV KEDARI","M","JD(S)","24033","GEN","123830","169256","ATHANI","GEN","Bombay Karnataka","7","73.16","19.41","no","21284","17.19","3.03","AEKA643","","10979","TRUE","2","JD(S)","10979","ATHANI","TRUE","TRUE","0","FALSE","FALSE","TRUE","53","BELGAUM","","","","5th Pass","Other","","",""
"AE","Karnataka","8","3","2008","5","0","4","4","KRISHNAJI LAXMAN RAO KUNDARGI","M","RAHS","2749","GEN","123830","169256","ATHANI","GEN","Bombay Karnataka","7","73.16","2.22","yes","122","0.1","3.03","AEKA3543","","6475","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","56","BELGAUM","","","","","","","",""
"AE","Karnataka","8","3","2008","5","0","4","5","NAVALGATTI SANJEEV BALAPPA","M","BSP","2627","GEN","123830","169256","ATHANI","GEN","Bombay Karnataka","7","73.16","2.12","yes","792","0.64","3.03","AEKA3544","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","37","BELGAUM","","","","12th Pass","Other","","",""
"AE","Karnataka","8","3","2008","5","0","4","6","SUNIL SHANKAR WAGHAMARE","M","RPI(A)","1835","SC","123830","169256","ATHANI","GEN","Bombay Karnataka","7","73.16","1.48","yes","1275","1.03","3.03","AEKA3545","","12285","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","34","BELGAUM","","","","Graduate Professional","Other","","",""
"AE","Karnataka","8","3","2008","5","0","4","7","FIROJKHAN SHAMSHUDDIN KAROLI","M","SP","560","GEN","123830","169256","ATHANI","GEN","Bombay Karnataka","7","73.16","0.45","yes","0","0","3.03","AEKA3546","","7425","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","36","BELGAUM","","","","12th Pass","Other","","",""
"AE","Karnataka","8","4","2008","5","0","4","1","BHARAMAGOUDA ALAGOUDA KAGE","M","BJP","45286","GEN","107947","152975","KAGWAD","GEN","Bombay Karnataka","11","70.57","41.95","no","8982","8.32","3.23","AEKA312","","1605","TRUE","5","BJP","1605","KAGWAD","TRUE","TRUE","3","FALSE","TRUE","TRUE","49","BELGAUM","","","","","","","",""
"AE","Karnataka","8","4","2008","5","0","4","2","DIGVIJAYA YASHAWANTRAO PAWAR DESAI","M","INC","36304","GEN","107947","152975","KAGWAD","GEN","Bombay Karnataka","11","70.57","33.63","no","20381","18.88","3.23","AEKA3547","","3482","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","38","BELGAUM","","","","Graduate","Other","","",""
"AE","Karnataka","8","4","2008","5","0","4","3","SRIMANT BALASAHEB PATIL","M","JD(S)","15923","GEN","107947","152975","KAGWAD","GEN","Bombay Karnataka","11","70.57","14.75","yes","11804","10.93","3.23","GEKA651","","10979","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","53","BELGAUM","","","","Graduate","Other","","",""
"AE","Karnataka","8","4","2008","5","0","4","4","ANAND SHANTAPPA SADALAGE","M","BSP","4119","GEN","107947","152975","KAGWAD","GEN","Bombay Karnataka","11","70.57","3.82","yes","2587","2.4","3.23","AEKA7467","","16651","TRUE","2","BJP","1605","KAGWAD","TRUE","FALSE","0","TRUE","FALSE","FALSE","40","BELGAUM","","","","10th Pass","Other","","",""
"AE","Karnataka","8","4","2008","5","0","4","5","SRIDHAR MAHADEV JOSHI","M","RAHS","1532","GEN","107947","152975","KAGWAD","GEN","Bombay Karnataka","11","70.57","1.42","yes","137","0.13","3.23","AEKA3549","","6475","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","37","BELGAUM","","","","","","","",""
"AE","Karnataka","8","4","2008","5","0","4","6","NARSINHA TUKARAM PATIL","M","IND","1395","GEN","107947","152975","KAGWAD","GEN","Bombay Karnataka","11","70.57","1.29","yes","433","0.4","3.23","AEKA3550","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","33","BELGAUM","","","","","","","",""
"AE","Karnataka","8","4","2008","5","0","4","7","SHRAVAN MARUTI KAMBLE","M","RPI(A)","962","SC","107947","152975","KAGWAD","GEN","Bombay Karnataka","11","70.57","0.89","yes","116","0.11","3.23","AEKA3551","","12285","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","30","BELGAUM","","","","Graduate","Other","","",""
"AE","Karnataka","8","4","2008","5","0","4","8","ANNASAB IRAPPA SATTIKAR","M","JD(U)","846","GEN","107947","152975","KAGWAD","GEN","Bombay Karnataka","11","70.57","0.78","yes","261","0.24","3.23","AEKA3552","","11002","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","38","BELGAUM","","","","Graduate","Other","","",""
"AE","Karnataka","8","4","2008","5","0","4","9","KUMAR RAYAPPA MAKANNAVAR","M","IND","585","ST","107947","152975","KAGWAD","GEN","Bombay Karnataka","11","70.57","0.54","yes","75","0.07","3.23","AEKA3553","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","35","BELGAUM","","","","","","","",""
"AE","Karnataka","8","4","2008","5","0","4","10","KHATANVE MALLAPPA MARUTI","M","IND","510","GEN","107947","152975","KAGWAD","GEN","Bombay Karnataka","11","70.57","0.47","yes","25","0.02","3.23","AEKA3554","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","59","BELGAUM","","","","","","","",""
"AE","Karnataka","8","4","2008","5","0","4","11","VARDHAMAN TIPPANNA UDAGAVE","M","SP","485","GEN","107947","152975","KAGWAD","GEN","Bombay Karnataka","11","70.57","0.45","yes","0","0","3.23","AEKA3555","","7425","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","27","BELGAUM","","","","","Other","","",""
"AE","Karnataka","8","5","2008","5","0","4","1","GHATAGE SHAMA BHIMA","M","INC","29481","SC","93017","136073","KUDACHI","SC","Bombay Karnataka","9","68.36","31.69","no","766","0.82","3.85","GEKA664","","3482","TRUE","4","INC","3482","RAIBAG","FALSE","TRUE","4","FALSE","FALSE","FALSE","46","BELGAUM","","","","","","","",""
"AE","Karnataka","8","5","2008","5","0","4","2","MAHENDRA K TAMMANNAVAR","M","BJP","28715","SC","93017","136073","KUDACHI","SC","Bombay Karnataka","9","68.36","30.87","no","5737","6.17","3.85","AEKA665","","1605","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","29","BELGAUM","","","","","Other","","",""
"AE","Karnataka","8","5","2008","5","0","4","3","RAJEEV P.","M","IND","22978","SC","93017","136073","KUDACHI","SC","Bombay Karnataka","9","68.36","24.7","no","18933","20.35","3.85","AEKA663","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","30","BELGAUM","","","","","","","",""
"AE","Karnataka","8","5","2008","5","0","4","4","BHIMAPPA CHANNAPPA SARIKAR","M","JD(S)","4045","SC","93017","136073","KUDACHI","SC","Bombay Karnataka","9","68.36","4.35","yes","1793","1.93","3.85","AEKA3556","","10979","TRUE","2","JD(U)","11002","RAIBAG","FALSE","FALSE","1","TRUE","TRUE","TRUE","62","BELGAUM","","","","10th Pass","Other","","",""
"AE","Karnataka","8","5","2008","5","0","4","5","M VENKATASWAMY","M","IND","2252","SC","93017","136073","KUDACHI","SC","Bombay Karnataka","9","68.36","2.42","yes","114","0.12","3.85","AEKA3557","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","54","BELGAUM","","","","","","","",""
