"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"AE","Madhya_Pradesh","13","1","2008","12","0","4","1","BRIJRAJ SINGH","M","INC","39472","GEN","115972","159780","SHEOPUR","GEN","GIRD ZONE","14","72.58","34.04","no","9452","8.15","4.17","AEMP18694","","3482","TRUE","2","IND","10809","SHEOPUR","TRUE","FALSE","2","FALSE","FALSE","FALSE","48","SHEOPUR","","","","Graduate Professional","Other","","",""
"AE","Madhya_Pradesh","13","1","2008","12","0","4","2","DURGALAL VIJAY","M","BJP","30020","GEN","115972","159780","SHEOPUR","GEN","GIRD ZONE","14","72.58","25.89","no","9202","7.93","4.17","AEMP21204","","1605","TRUE","2","BJP","1605","SHEOPUR","TRUE","TRUE","1","FALSE","TRUE","TRUE","56","SHEOPUR","","","","Post Graduate","Other","","",""
"AE","Madhya_Pradesh","13","1","2008","12","0","4","3","BABULAL URF JANDEL","M","BSP","20818","GEN","115972","159780","SHEOPUR","GEN","GIRD ZONE","14","72.58","17.95","no","5875","5.07","4.17","AEMP23378","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","37","SHEOPUR","","","","8th Pass","Other","","",""
"AE","Madhya_Pradesh","13","1","2008","12","0","4","4","MOOLCHAND RAWAT","M","IND","14943","GEN","115972","159780","SHEOPUR","GEN","GIRD ZONE","14","72.58","12.89","yes","12911","11.13","4.17","AEMP8312","","10809","TRUE","5","JD","4244","SHEOPUR","TRUE","FALSE","0","FALSE","FALSE","FALSE","54","SHEOPUR","","","","5th Pass","Other","","",""
"AE","Madhya_Pradesh","13","1","2008","12","0","4","5","HIRALAL MALI","M","IND","2032","GEN","115972","159780","SHEOPUR","GEN","GIRD ZONE","14","72.58","1.75","yes","334","0.29","4.17","AEMP23382","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","63","SHEOPUR","","","","","","","",""
"AE","Madhya_Pradesh","13","1","2008","12","0","4","6","HARVILAS","M","IND","1698","ST","115972","159780","SHEOPUR","GEN","GIRD ZONE","14","72.58","1.46","yes","417","0.36","4.17","AEMP947407","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","34","SHEOPUR","","","","","","","",""
"AE","Madhya_Pradesh","13","1","2008","12","0","4","7","MOTILAL BAIRVA","M","IND","1281","SC","115972","159780","SHEOPUR","GEN","GIRD ZONE","14","72.58","1.1","yes","180","0.16","4.17","AECG84574","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","50","SHEOPUR","","","","","","","",""
"AE","Madhya_Pradesh","13","1","2008","12","0","4","8","DINESH SINGHAL ADVOCATE","M","BJSH","1101","GEN","115972","159780","SHEOPUR","GEN","GIRD ZONE","14","72.58","0.95","yes","173","0.15","4.17","AEMP23375","","1452","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","33","SHEOPUR","","","","","","","",""
"AE","Madhya_Pradesh","13","1","2008","12","0","4","9","RADHESHYAM","M","IND","928","GEN","115972","159780","SHEOPUR","GEN","GIRD ZONE","14","72.58","0.8","yes","67","0.06","4.17","AEMP23381","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","50","SHEOPUR","","","","Graduate","Other","","",""
"AE","Madhya_Pradesh","13","1","2008","12","0","4","10","MANSHARAM","M","IND","861","SC","115972","159780","SHEOPUR","GEN","GIRD ZONE","14","72.58","0.74","yes","32","0.03","4.17","AEMP23376","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","49","SHEOPUR","","","","5th Pass","Other","","",""
