"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"AE","Maharashtra","11","1","2009","10","0","4","1","PADVI ADV K. C.","M","INC","52273","ST","143301","209521","AKKALKUWA","ST","KHANDESH","6","68.39","36.48","no","2559","1.79","3.57","GEMH37921","","3482","TRUE","4","INC","3482","AKRANI","FALSE","TRUE","4","FALSE","TRUE","TRUE","49","NANDURBAR","","","","Graduate Professional","Other","","",""
"AE","Maharashtra","11","1","2009","10","0","4","2","PARADAKE VIJAYSING RUPSING","M","IND","49714","ST","143301","209521","AKKALKUWA","ST","KHANDESH","6","68.39","34.69","no","24476","17.08","3.57","AEMH88377","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","39","NANDURBAR","","","","","","","",""
"AE","Maharashtra","11","1","2009","10","0","4","3","PADVI NARENDRASING BHAGATSING","M","IND","25238","ST","143301","209521","AKKALKUWA","ST","KHANDESH","6","68.39","17.61","no","18497","12.91","3.57","AEMH97838","","10809","TRUE","4","BJP","1605","TALODE","FALSE","FALSE","1","FALSE","FALSE","TRUE","50","NANDURBAR","","","","","","","",""
"AE","Maharashtra","11","1","2009","10","0","4","4","VALVI HEMANT BHIKA","M","IND","6741","ST","143301","209521","AKKALKUWA","ST","KHANDESH","6","68.39","4.7","yes","557","0.39","3.57","AEMH88379","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","29","NANDURBAR","","","","","","","",""
"AE","Maharashtra","11","1","2009","10","0","4","5","VALVI MANGALSING KOMA","M","SHS","6184","ST","143301","209521","AKKALKUWA","ST","KHANDESH","6","68.39","4.32","yes","3033","2.12","3.57","AEMH88380","","18691","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","44","NANDURBAR","","","","","Other","","",""
"AE","Maharashtra","11","1","2009","10","0","4","6","VASAVE ABHIJEET ATYA","M","BSP","3151","ST","143301","209521","AKKALKUWA","ST","KHANDESH","6","68.39","2.2","yes","0","0","3.57","AEMH88381","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","30","NANDURBAR","","","","Graduate Professional","Other","","",""
"AE","Maharashtra","11","2","2009","10","0","4","1","VALVI PADMAKAR VIJAYSING","M","INC","51222","ST","144652","257248","SHAHADA","ST","KHANDESH","14","56.23","35.41","no","12587","8.7","4.17","AEMH97839","","3482","TRUE","4","INC","3482","TALODE","FALSE","TRUE","3","FALSE","TRUE","TRUE","41","NANDURBAR","","","","Post Graduate","Other","","",""
"AE","Maharashtra","11","2","2009","10","0","4","2","PADVI UDESING KOCHARU","M","SHS","38635","ST","144652","257248","SHAHADA","ST","KHANDESH","14","56.23","26.71","no","8979","6.21","4.17","AEMH108102","","18691","TRUE","4","SHS","18691","AKRANI","FALSE","TRUE","0","FALSE","FALSE","TRUE","61","NANDURBAR","","","","Others","Other","","",""
"AE","Maharashtra","11","2","2009","10","0","4","3","VALVI LALSING NURYA","M","IND","29656","ST","144652","257248","SHAHADA","ST","KHANDESH","14","56.23","20.5","no","21382","14.78","4.17","AEMH95231","","10809","TRUE","2","NCP","5792","TALODE","FALSE","FALSE","0","FALSE","FALSE","FALSE","60","NANDURBAR","","","","10th Pass","Other","","",""
"AE","Maharashtra","11","2","2009","10","0","4","4","SHEVALE MOHANSING PAVANSING","M","CPM","8274","ST","144652","257248","SHAHADA","ST","KHANDESH","14","56.23","5.72","yes","4242","2.93","4.17","AEMH88385","","14635","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","32","NANDURBAR","","","","12th Pass","Other","","",""
"AE","Maharashtra","11","2","2009","10","0","4","5","PAWRA PRAMILA KELSING","F","IND","4032","ST","144652","257248","SHAHADA","ST","KHANDESH","14","56.23","2.79","yes","76","0.05","4.17","AEMH88386","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","32","NANDURBAR","","","","10th Pass","Other","","",""
"AE","Maharashtra","11","2","2009","10","0","4","6","SONI RATILAL KEVAJI","M","IND","3956","ST","144652","257248","SHAHADA","ST","KHANDESH","14","56.23","2.73","yes","2105","1.46","4.17","AEMH88387","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","60","NANDURBAR","","","","Post Graduate","Other","","",""
"AE","Maharashtra","11","2","2009","10","0","4","7","PAWRA MADAN MITHA","M","IND","1851","ST","144652","257248","SHAHADA","ST","KHANDESH","14","56.23","1.28","yes","198","0.14","4.17","AEMH88388","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","38","NANDURBAR","","","","Graduate","Other","","",""
"AE","Maharashtra","11","2","2009","10","0","4","8","MALI VILAS DIVADSING","M","IND","1653","ST","144652","257248","SHAHADA","ST","KHANDESH","14","56.23","1.14","yes","292","0.2","4.17","AEMH88389","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","31","NANDURBAR","","","","Graduate","Other","","",""
"AE","Maharashtra","11","2","2009","10","0","4","9","VALVI ASHOK JUMMA","M","BSP","1361","ST","144652","257248","SHAHADA","ST","KHANDESH","14","56.23","0.94","yes","107","0.07","4.17","AEMH88400","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","38","NANDURBAR","","","","12th Pass","Other","","",""
"AE","Maharashtra","11","2","2009","10","0","4","10","BHIL JALAMSING SUTUM","M","IND","1254","ST","144652","257248","SHAHADA","ST","KHANDESH","14","56.23","0.87","yes","358","0.25","4.17","AEMH88391","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","38","NANDURBAR","","","","12th Pass","Other","","",""
"AE","Maharashtra","11","2","2009","10","0","4","11","KHARDE GOSA BAHADUR","M","IND","896","ST","144652","257248","SHAHADA","ST","KHANDESH","14","56.23","0.62","yes","141","0.1","4.17","AEMH88392","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","41","NANDURBAR","","","","Graduate","Other","","",""
"AE","Maharashtra","11","2","2009","10","0","4","12","SAVITRI MAGAN PADVI","F","RWS","755","ST","144652","257248","SHAHADA","ST","KHANDESH","14","56.23","0.52","yes","47","0.03","4.17","AEMH84220","","6394","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","30","NANDURBAR","","","","Graduate","Other","","",""
"AE","Maharashtra","11","2","2009","10","0","4","13","TADVI RIYAZ SHAFI","M","IND","708","ST","144652","257248","SHAHADA","ST","KHANDESH","14","56.23","0.49","yes","309","0.21","4.17","AEMH88394","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","47","NANDURBAR","","","","","","","",""
"AE","Maharashtra","11","2","2009","10","0","4","14","PAWAR GIRDHAR FATTU","M","IND","399","ST","144652","257248","SHAHADA","ST","KHANDESH","14","56.23","0.28","yes","0","0","4.17","AEMH88395","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","60","NANDURBAR","","","","Graduate","Other","","",""
"AE","Maharashtra","11","3","2009","10","0","4","1","GAVIT VIJAYKUMAR KRUSHNARAO","M","NCP","99323","ST","180976","267280","NANDURBAR","ST","KHANDESH","6","67.71","54.88","no","23858","13.18","2.13","AEMH97833","","5792","TRUE","4","NCP","5792","NANDURBAR","TRUE","TRUE","4","FALSE","TRUE","TRUE","53","NANDURBAR","","","","Post Graduate","Other","","",""
"AE","Maharashtra","11","3","2009","10","0","4","2","NATAWADKAR SUHASINI SUHAS","F","BJP","75465","ST","180976","267280","NANDURBAR","ST","KHANDESH","6","67.71","41.7","no","72508","40.06","2.13","AEMH88397","","1605","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","42","NANDURBAR","","","","Others","Other","","",""
"AE","Maharashtra","11","3","2009","10","0","4","3","GAVIT SHARAD DILIP","M","IND","2957","ST","180976","267280","NANDURBAR","ST","KHANDESH","6","67.71","1.63","yes","1673","0.92","2.13","AEMH88398","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","26","NANDURBAR","","","","","","","",""
"AE","Maharashtra","11","3","2009","10","0","4","4","SONAWANE ARJUN RATAN","M","RPI(A)","1284","ST","180976","267280","NANDURBAR","ST","KHANDESH","6","67.71","0.71","yes","62","0.03","2.13","AEMH88399","","12285","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","41","NANDURBAR","","","","10th Pass","Other","","",""
"AE","Maharashtra","11","3","2009","10","0","4","5","VALVI ASHOK JUMMA","M","BSP","1222","ST","180976","267280","NANDURBAR","ST","KHANDESH","6","67.71","0.68","yes","497","0.27","2.13","AEMH88400","","16651","TRUE","2","BSP","16651","SHAHADA","FALSE","TRUE","0","FALSE","FALSE","FALSE","38","NANDURBAR","","","","Graduate","Other","","",""
