"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"AE","Manipur","11","1","2012","3","0","4","1","THOKCHOM LOKESHWAR SINGH","M","INC","9182","GEN","18598","22312","KHUNDRAKPAM","GEN","PLAINS","7","83.35","49.37","no","5504","29.59","3.23","AEMN197746","","3482","TRUE","2","INC","3482","Khundrakpam","FALSE","TRUE","2","FALSE","TRUE","TRUE","45","IMPHAL EAST","","","","Post Graduate","Social Work","","",""
"AE","Manipur","11","1","2012","3","0","4","2","I. MANGITON","M","BJP","3678","GEN","18598","22312","KHUNDRAKPAM","GEN","PLAINS","7","83.35","19.78","no","1582","8.51","3.23","AEMN198013","","1605","TRUE","3","JD(U)","11002","KHUNDRAKPAM","TRUE","FALSE","0","TRUE","FALSE","TRUE","52","IMPHAL EAST","","","","Graduate Professional","Politics","Party Worker","Social Work",""
"AE","Manipur","11","1","2012","3","0","4","3","L. PREMCHANDRA","M","CPI","2096","GEN","18598","22312","KHUNDRAKPAM","GEN","PLAINS","7","83.35","11.27","yes","519","2.79","3.23","AEMN198014","","2444","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","40","IMPHAL EAST","","","","Graduate","Politics","Party Worker","",""
"AE","Manipur","11","1","2012","3","0","4","4","KONSAM TOMBA","M","AITC","1577","GEN","18598","22312","KHUNDRAKPAM","GEN","PLAINS","7","83.35","8.48","yes","142","0.76","3.23","AEMN199006","","18228","TRUE","3","MPP","14852","KHUNDRAKPAM","TRUE","FALSE","0","TRUE","FALSE","FALSE","69","IMPHAL EAST","","","","Graduate","Social Work","","",""
"AE","Manipur","11","1","2012","3","0","4","5","NAMOIJAM SINGHAJIT SINGH","M","NCP","1435","GEN","18598","22312","KHUNDRAKPAM","GEN","PLAINS","7","83.35","7.72","yes","1016","5.46","3.23","AEMN198309","","5792","TRUE","3","MPP","14852","Khundrakpam","FALSE","FALSE","0","TRUE","FALSE","TRUE","43","IMPHAL EAST","","","","Graduate","Social Work","","",""
"AE","Manipur","11","1","2012","3","0","4","6","R. MICHAEL KOIRENG","M","NPP","419","ST","18598","22312","KHUNDRAKPAM","GEN","PLAINS","7","83.35","2.25","yes","208","1.12","3.23","AEMN198017","","5671","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","30","IMPHAL EAST","","","","","","","",""
"AE","Manipur","11","1","2012","3","0","4","7","L. LALA SINGH","M","MSCP","211","GEN","18598","22312","KHUNDRAKPAM","GEN","PLAINS","7","83.35","1.13","yes","0","0","3.23","AEMN198018","","11657","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","71","IMPHAL EAST","","","","8th Pass","Politics","Party Worker","Social Work",""
"AE","Manipur","11","2","2012","3","0","4","1","N. BIREN","M","INC","11872","GEN","23054","26694","HEINGANG","GEN","PLAINS","5","86.36","51.5","no","2082","9.03","2.22","AEMN198019","","3482","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","51","IMPHAL EAST","","","","Graduate","Politics","Party Worker","Social Work",""
"AE","Manipur","11","2","2012","3","0","4","2","NAOROIBAM RATAN (KAPU) MEETEI","M","NCP","9790","GEN","23054","26694","HEINGANG","GEN","PLAINS","5","86.36","42.47","no","9186","39.85","2.22","AEMN197752","","5792","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","32","IMPHAL EAST","","","","Graduate","Social Work","","",""
"AE","Manipur","11","2","2012","3","0","4","3","Y. MANGI","M","MPP","604","GEN","23054","26694","HEINGANG","GEN","PLAINS","5","86.36","2.62","yes","189","0.82","2.22","AEMN198021","","14852","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","61","IMPHAL EAST","","","","","","","",""
