"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"AE","Meghalaya","8","1","2008","3","0","3","1","LAHKMEN RYMBUI","M","INC","6896","ST","18943","20497","WAR-JAINTIA","ST","","6","92.42","36.4","no","900","4.75","3.57","AEML199","","3482","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","38","","","","","Graduate","Other","","",""
"AE","Meghalaya","8","1","2008","3","0","3","2","RIANGLENON TARIANG","M","UDP","5996","ST","18943","20497","WAR-JAINTIA","ST","","6","92.42","31.65","no","2766","14.6","3.57","AEML5195469","","8377","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","47","","","","","Post Graduate","Other","","",""
"AE","Meghalaya","8","1","2008","3","0","3","3","PAUL LAMIN","M","NCP","3230","ST","18943","20497","WAR-JAINTIA","ST","","6","92.42","17.05","no","617","3.26","3.57","AEML1982","","5792","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","42","","","","","Literate","Other","","",""
"AE","Meghalaya","8","1","2008","3","0","3","4","CAMILLUS ALBERT LAMIN","M","KHNAM","2613","ST","18943","20497","WAR-JAINTIA","ST","","6","92.42","13.79","yes","2504","13.22","3.57","AEML1342","","4845","TRUE","3","NCP","5792","WAR-JAINTIA","TRUE","FALSE","0","TRUE","FALSE","TRUE","56","","","","","Graduate","Other","","",""
"AE","Meghalaya","8","1","2008","3","0","3","5","JUNIOR LAMIN","M","BJP","109","ST","18943","20497","WAR-JAINTIA","ST","","6","92.42","0.58","yes","10","0.05","3.57","AEML5195910","","1605","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","38","","","","","","Other","","",""
"AE","Meghalaya","8","1","2008","3","0","3","6","SEVENSON DHAR","M","LJP","99","ST","18943","20497","WAR-JAINTIA","ST","","6","92.42","0.52","yes","0","0","3.57","AEML5196092","","5029","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","43","","","","","Graduate Professional","Other","","",""
"AE","Meghalaya","8","2","2008","3","0","3","1","NEHLANG LYNGDOH","M","INC","12893","ST","26914","29659","RYMBAI","ST","","5","90.74","47.9","no","7037","26.15","3.12","AEML5195871","","3482","TRUE","2","INC","3482","RYMBAI","TRUE","TRUE","2","FALSE","TRUE","TRUE","47","","","","","5th Pass","Other","","",""
"AE","Meghalaya","8","2","2008","3","0","3","2","SIMON SIANGSHAI","M","NCP","5856","ST","26914","29659","RYMBAI","ST","","5","90.74","21.76","no","2003","7.44","3.12","AEML783","","5792","TRUE","5","NCP","5792","RYMBAI","TRUE","TRUE","3","FALSE","FALSE","TRUE","58","","","","","Others","Other","","",""
"AE","Meghalaya","8","2","2008","3","0","3","3","OBIL KYNDAIT","M","HSPDP","3853","ST","26914","29659","RYMBAI","ST","","5","90.74","14.32","yes","1521","5.65","3.12","AEML2340","","3208","TRUE","7","IND","10809","RYMBAI","TRUE","FALSE","1","FALSE","FALSE","TRUE","63","","","","","","","","",""
"AE","Meghalaya","8","2","2008","3","0","3","4","TARIANG MASSAR","M","KHNAM","2332","ST","26914","29659","RYMBAI","ST","","5","90.74","8.66","yes","352","1.31","3.12","AEML1989","","4845","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","30","","","","","8th Pass","Other","","",""
