"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"AE","Mizoram","10","1","2008","12","0","4","1","LALRINMAWIA RALTE","M","INC","6990","ST","13453","16029","HACHHEK","ST","","5","83.93","51.96","no","2617","19.45","2.5","AEMZ195","","3482","TRUE","3","INC","3482","Kawrthah","FALSE","TRUE","1","FALSE","FALSE","TRUE","45","MAMIT","","","","Graduate","Other","","",""
"AE","Mizoram","10","1","2008","12","0","4","2","H.LALENVELA","M","MNF","4373","ST","13453","16029","HACHHEK","ST","","5","83.93","32.51","no","2533","18.83","2.5","AEMZ5196211","","5430","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","49","MAMIT","","","","10th Pass","Other","","",""
"AE","Mizoram","10","1","2008","12","0","4","3","JOHN LALNGILNEIA","M","MPC","1840","ST","13453","16029","HACHHEK","ST","","5","83.93","13.68","yes","1701","12.64","2.5","AEMZ197","","5438","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","60","MAMIT","","","","Post Graduate","Other","","",""
"AE","Mizoram","10","1","2008","12","0","4","4","LALDINLIANA","M","JD(U)","139","ST","13453","16029","HACHHEK","ST","","5","83.93","1.03","yes","28","0.21","2.5","AEMZ198","","11002","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","26","MAMIT","","","","Post Graduate","Other","","",""
"AE","Mizoram","10","1","2008","12","0","4","5","P.C LALTHANPUIA","M","LJP","111","ST","13453","16029","HACHHEK","ST","","5","83.93","0.83","yes","0","0","2.5","AEMZ199","","5029","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","29","MAMIT","","","","10th Pass","Other","","",""
"AE","Mizoram","10","2","2008","12","0","4","1","LALROBIAKA","M","INC","5004","ST","12169","13981","DAMPA","ST","","6","87.04","41.12","no","680","5.59","2.94","AEMZ200","","3482","TRUE","2","INC","3482","Phuldungsei","FALSE","TRUE","1","FALSE","FALSE","TRUE","43","MAMIT","","","","Graduate","Other","","",""
"AE","Mizoram","10","2","2008","12","0","4","2","LALRINTLUANGA SAILO","M","MNF","4324","ST","12169","13981","DAMPA","ST","","6","87.04","35.53","no","1937","15.92","2.94","AEMZ436","","5430","TRUE","2","MZPC","5438","BUARPUI","FALSE","FALSE","0","TRUE","FALSE","TRUE","47","MAMIT","","","","8th Pass","Other","","",""
"AE","Mizoram","10","2","2008","12","0","4","3","LALHMINGTHANGA SAILO","M","ZNP","2387","ST","12169","13981","DAMPA","ST","","6","87.04","19.62","no","2117","17.4","2.94","AEMZ202","","8619","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","34","MAMIT","","","","Post Graduate","Other","","",""
"AE","Mizoram","10","2","2008","12","0","4","4","C.HMINGTHANSANGA","M","BJP","270","ST","12169","13981","DAMPA","ST","","6","87.04","2.22","yes","155","1.27","2.94","AEMZ203","","1605","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","32","MAMIT","","","","","","","",""
"AE","Mizoram","10","2","2008","12","0","4","5","ZAKHUMA","M","LJP","115","ST","12169","13981","DAMPA","ST","","6","87.04","0.95","yes","46","0.38","2.94","AEMZ204","","5029","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","77","MAMIT","","","","Literate","Other","","",""
"AE","Mizoram","10","2","2008","12","0","4","6","LALAWMPUIA CHHANGTE","M","NCP","69","ST","12169","13981","DAMPA","ST","","6","87.04","0.57","yes","0","0","2.94","GEMZ5195424","","5792","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","41","MAMIT","","","","10th Pass","Other","","",""
"AE","Mizoram","10","3","2008","12","0","4","1","JOHN ROTLUANGLIANA","M","INC","4421","ST","13824","16266","MAMIT","ST","","11","84.99","31.98","no","2147","15.53","5","AEMZ5195535","","3482","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","48","MAMIT","","","","Graduate","Other","","",""
"AE","Mizoram","10","3","2008","12","0","4","2","LALTHLENGLIANA","M","MNF","2274","ST","13824","16266","MAMIT","ST","","11","84.99","16.45","yes","63","0.46","5","AEMZ5195963","","5430","TRUE","2","MNF","5430","MAMIT","TRUE","TRUE","1","FALSE","TRUE","TRUE","58","MAMIT","","","","8th Pass","Other","","",""
"AE","Mizoram","10","3","2008","12","0","4","3","LALLAWMSANGA APETOW","M","IND","2211","ST","13824","16266","MAMIT","ST","","11","84.99","15.99","yes","105","0.76","5","AEMZ208","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","32","MAMIT","","","","Graduate","Other","","",""
"AE","Mizoram","10","3","2008","12","0","4","4","LALTANPUIA","M","ZNP","2106","ST","13824","16266","MAMIT","ST","","11","84.99","15.23","yes","213","1.54","5","AEMZ209","","8619","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","32","MAMIT","","","","Graduate Professional","Other","","",""
"AE","Mizoram","10","3","2008","12","0","4","5","LALROMAWIA","M","IND","1893","ST","13824","16266","MAMIT","ST","","11","84.99","13.69","yes","1527","11.05","5","AEMZ210","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","51","MAMIT","","","","10th Pass","Other","","",""
