"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"AE","Nagaland","11","1","2008","3","0","4","1","K.L. CHISHI","M","INC","8700","ST","14462","17891","DIMAPUR-I","GEN","","4","80.83","60.16","no","3926","27.15","2.13","AENL279","","3482","TRUE","7","NDM","5797","ATOIZU","FALSE","FALSE","6","TRUE","FALSE","TRUE","65","DIMAPUR","","","","Graduate Professional","Other","","",""
"AE","Nagaland","11","1","2008","3","0","4","2","ATOMI","M","NPF","4774","ST","14462","17891","DIMAPUR-I","GEN","","4","80.83","33.01","no","4006","27.7","2.13","AENL524","","5552","TRUE","2","NPF","5552","DIMAPUR-I","TRUE","TRUE","1","FALSE","TRUE","TRUE","31","DIMAPUR","","","","Post Graduate","Other","","",""
"AE","Nagaland","11","1","2008","3","0","4","3","R.S. SANGTAM","M","IND","768","ST","14462","17891","DIMAPUR-I","GEN","","4","80.83","5.31","yes","548","3.79","2.13","AENL5196187","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","58","DIMAPUR","","","","10th Pass","Other","","",""
"AE","Nagaland","11","1","2008","3","0","4","4","ZENEISELE","F","JD(U)","220","ST","14462","17891","DIMAPUR-I","GEN","","4","80.83","1.52","yes","0","0","2.13","AENL1722","","11002","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","55","DIMAPUR","","","","Graduate","Other","","",""
"AE","Nagaland","11","2","2008","3","0","4","1","S.I. JAMIR","M","INC","17954","ST","33149","44124","DIMAPUR-II","ST","","2","75.13","54.16","no","2759","8.32","2","AENL890","","3482","TRUE","6","INC","3482","DIMAPUR-II","TRUE","TRUE","5","FALSE","FALSE","TRUE","70","DIMAPUR","","","","10th Pass","Other","","",""
"AE","Nagaland","11","2","2008","3","0","4","2","SAVI LIEGISE","M","NPF","15195","ST","33149","44124","DIMAPUR-II","ST","","2","75.13","45.84","no","0","0","2","AENL1723","","5552","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","46","DIMAPUR","","","","Graduate","Other","","",""
"AE","Nagaland","11","3","2008","3","0","4","1","AZHETO ZHIMOMI","M","INC","7874","ST","15699","19931","DIMAPUR-III","ST","","4","78.77","50.16","no","3003","19.13","2.63","AENL42","","3482","FALSE","2","NPF","5552","DIMAPUR-III","TRUE","FALSE","1","TRUE","FALSE","TRUE","58","DIMAPUR","","","","10th Pass","Other","","",""
"AE","Nagaland","11","3","2008","3","0","4","2","L. INAZHE SEMA","M","RJD","4871","ST","15699","19931","DIMAPUR-III","ST","","4","78.77","31.03","no","2087","13.29","2.63","AENL1728","","12103","FALSE","1","","","","","","0","FALSE","FALSE","FALSE","47","DIMAPUR","","","","Graduate Professional","Other","","",""
"AE","Nagaland","11","3","2008","3","0","4","3","V. ABU METHA","M","NPF","2784","ST","15699","19931","DIMAPUR-III","ST","","4","78.77","17.73","no","2614","16.65","2.63","AENL1725","","5552","FALSE","1","","","","","","0","FALSE","FALSE","FALSE","31","DIMAPUR","","","","Graduate","Other","","",""
"AE","Nagaland","11","3","2008","3","0","4","4","AKHEI ACHUMI","M","IND","170","ST","15699","19931","DIMAPUR-III","ST","","4","78.77","1.08","yes","0","0","2.63","AENL66389","","10809","FALSE","1","","","","","","0","FALSE","FALSE","FALSE","68","DIMAPUR","","","","Graduate","Other","","",""
"AE","Nagaland","11","3","2009","3","1","4","1","Azheto Zhimomi","","NPF","12427","","16800","19931","DIMAPUR-III","ST","","2","84.29","73.97","no","8054","47.94","1.61","AENL42","","5552","TRUE","3","INC","3482","DIMAPUR-III","TRUE","FALSE","1","TRUE","TRUE","TRUE","","DIMAPUR","","","","","","","",""
"AE","Nagaland","11","3","2009","3","1","4","2","Y.Vikheho","","INC","4373","","16800","19931","DIMAPUR-III","ST","","2","84.29","26.03","no","0","0","1.61","AENL506","","3482","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","DIMAPUR","","","","","","","",""
