"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"AE","Odisha","14","1","2009","5","0","4","1","BIJAYA RANJAN SINGH BARIHA","M","BJD","67913","ST","153818","203723","PADAMPUR","GEN","NORTH DIVISION","4","75.5","44.15","no","18066","11.75","2.94","AEOD6851","","9079","TRUE","5","BJD","9079","PADAMPUR","TRUE","TRUE","4","FALSE","FALSE","TRUE","51","BARGARH","","","","","","","",""
"AE","Odisha","14","1","2009","5","0","4","2","SATYA BHUSAN SAHU","M","INC","49847","GEN","153818","203723","PADAMPUR","GEN","NORTH DIVISION","4","75.5","32.41","no","20196","13.13","2.94","AEOD8430","","3482","TRUE","7","INC","3482","PADAMPUR","TRUE","TRUE","3","FALSE","TRUE","TRUE","57","BARGARH","","","","Post Graduate","Other","","",""
"AE","Odisha","14","1","2009","5","0","4","3","PRADIP PUROHIT","M","BJP","29651","GEN","153818","203723","PADAMPUR","GEN","NORTH DIVISION","4","75.5","19.28","no","23244","15.11","2.94","AEOD4433","","1605","TRUE","2","IND","10809","PADAMPUR","TRUE","FALSE","0","FALSE","FALSE","FALSE","43","BARGARH","","","","10th Pass","Other","","",""
"AE","Odisha","14","1","2009","5","0","4","4","SUDHANSU SEKHAR BARIK","M","BSP","6407","GEN","153818","203723","PADAMPUR","GEN","NORTH DIVISION","4","75.5","4.17","yes","0","0","2.94","AEOD1571","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","34","BARGARH","","","","12th Pass","Other","","",""
"AE","Odisha","14","2","2009","5","0","4","1","SUBAL SAHU","M","INC","56864","GEN","139013","197953","BIJEPUR","GEN","NORTH DIVISION","7","70.23","40.91","no","8971","6.45","3.23","AEOD3545","","3482","TRUE","2","INC","3482","BIJEPUR","TRUE","TRUE","2","FALSE","TRUE","TRUE","48","BARGARH","","","","Graduate Professional","Other","","",""
"AE","Odisha","14","2","2009","5","0","4","2","PRABHAT ADITYA MISHRA","M","BJD","47893","GEN","139013","197953","BIJEPUR","GEN","NORTH DIVISION","7","70.23","34.45","no","28400","20.43","3.23","AEOD1573","","9079","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","46","BARGARH","","","","Post Graduate","Other","","",""
"AE","Odisha","14","2","2009","5","0","4","3","MOHAMMAD RAFIQUE","M","BJP","19493","GEN","139013","197953","BIJEPUR","GEN","NORTH DIVISION","7","70.23","14.02","yes","13849","9.96","3.23","AEOD1574","","1605","TRUE","3","BJP","1605","MELCHHAMUNDA","FALSE","TRUE","1","FALSE","TRUE","TRUE","53","BARGARH","","","","12th Pass","Other","","",""
"AE","Odisha","14","2","2009","5","0","4","4","MILAN MAHATTAM","M","BSP","5644","GEN","139013","197953","BIJEPUR","GEN","NORTH DIVISION","7","70.23","4.06","yes","520","0.37","3.23","AEOD1575","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","30","BARGARH","","","","Others","Other","","",""
"AE","Odisha","14","2","2009","5","0","4","5","SAKUNTALA MAHAPATRA","F","IND","5124","GEN","139013","197953","BIJEPUR","GEN","NORTH DIVISION","7","70.23","3.69","yes","2867","2.06","3.23","AEOD1576","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","44","BARGARH","","","","","","","",""
"AE","Odisha","14","2","2009","5","0","4","6","NARENDRA KUMAR HOTA","M","KOKD","2257","GEN","139013","197953","BIJEPUR","GEN","NORTH DIVISION","7","70.23","1.62","yes","519","0.37","3.23","AEOD1577","","11386","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","45","BARGARH","","","","","","","",""
"AE","Odisha","14","2","2009","5","0","4","7","KUBER JAL YADAV","M","JD(U)","1738","GEN","139013","197953","BIJEPUR","GEN","NORTH DIVISION","7","70.23","1.25","yes","0","0","3.23","AEOD3551","","11002","TRUE","2","IND","10809","BIJEPUR","TRUE","FALSE","0","FALSE","FALSE","TRUE","52","BARGARH","","","","10th Pass","Other","","",""
"AE","Odisha","14","3","2009","5","0","4","1","SADHU NEPAK","M","INC","46762","GEN","115791","179864","BARGARH","GEN","NORTH DIVISION","7","64.38","40.38","no","1969","1.7","3.03","AEOD3558","","3482","TRUE","2","INC","3482","BARGARH","TRUE","TRUE","1","FALSE","FALSE","TRUE","57","BARGARH","","","","Graduate","Other","","",""
"AE","Odisha","14","3","2009","5","0","4","2","ANANDA ACHARYA","M","BJD","44793","GEN","115791","179864","BARGARH","GEN","NORTH DIVISION","7","64.38","38.68","no","34199","29.54","3.03","AEOD5873","","9079","TRUE","5","BJD","9079","BARGARH","TRUE","TRUE","3","FALSE","TRUE","TRUE","71","BARGARH","","","","10th Pass","Other","","",""
"AE","Odisha","14","3","2009","5","0","4","3","SURESWAR SATPATHY","M","BJP","10594","GEN","115791","179864","BARGARH","GEN","NORTH DIVISION","7","64.38","9.15","yes","2135","1.84","3.03","AEOD5874","","1605","TRUE","3","INC","3482","BARAGARH","FALSE","FALSE","0","TRUE","FALSE","FALSE","51","BARGARH","","","","Post Graduate","Other","","",""
"AE","Odisha","14","3","2009","5","0","4","4","LINGARAJ PRADHAN","M","SWJP","8459","GEN","115791","179864","BARGARH","GEN","NORTH DIVISION","7","64.38","7.31","yes","5946","5.14","3.03","AEOD1582","","12954","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","48","BARGARH","","","","Post Graduate","Other","","",""
"AE","Odisha","14","3","2009","5","0","4","5","PRAMOD LUHURA","M","BSP","2513","SC","115791","179864","BARGARH","GEN","NORTH DIVISION","7","64.38","2.17","yes","1173","1.01","3.03","AEOD1583","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","38","BARGARH","","","","Post Graduate","Other","","",""
"AE","Odisha","14","3","2009","5","0","4","6","DEBENDRA SWAIN","M","SP","1340","GEN","115791","179864","BARGARH","GEN","NORTH DIVISION","7","64.38","1.16","yes","10","0.01","3.03","AEOD1584","","7425","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","30","BARGARH","","","","10th Pass","Other","","",""
"AE","Odisha","14","3","2009","5","0","4","7","SANJUKTA SIKA","F","SAMO","1330","SC","115791","179864","BARGARH","GEN","NORTH DIVISION","7","64.38","1.15","yes","0","0","3.03","AEOD1585","","12491","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","30","BARGARH","","","","","","","",""
"AE","Odisha","14","4","2009","5","0","4","1","NIHAR RANJAN MAHANANDA","M","INC","49396","SC","124590","189144","ATTABIRA","SC","NORTH DIVISION","10","65.87","39.65","no","13329","10.7","3.7","AEOD1586","","3482","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","31","BARGARH","","","","Graduate","Other","","",""
"AE","Odisha","14","4","2009","5","0","4","2","SNEHANGINI CHHURIA","F","BJD","36067","SC","124590","189144","ATTABIRA","SC","NORTH DIVISION","10","65.87","28.95","no","19759","15.86","3.7","AEOD1587","","9079","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","40","BARGARH","","","","Post Graduate","Other","","",""
"AE","Odisha","14","4","2009","5","0","4","3","MILAN SETH","M","IND","16308","SC","124590","189144","ATTABIRA","SC","NORTH DIVISION","10","65.87","13.09","yes","5242","4.21","3.7","AEOD1588","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","37","BARGARH","","","","Graduate","Other","","",""
"AE","Odisha","14","4","2009","5","0","4","4","BIPIN BHUSAGAR","M","BJP","11066","SC","124590","189144","ATTABIRA","SC","NORTH DIVISION","10","65.87","8.88","yes","7134","5.73","3.7","AEOD1589","","1605","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","38","BARGARH","","","","Graduate","Other","","",""
"AE","Odisha","14","4","2009","5","0","4","5","MUKTESWAR MEHER","M","BSP","3932","SC","124590","189144","ATTABIRA","SC","NORTH DIVISION","10","65.87","3.16","yes","470","0.38","3.7","AEOD1590","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","53","BARGARH","","","","Graduate","Other","","",""
"AE","Odisha","14","4","2009","5","0","4","6","PREMRAJ NIAL","M","SP","3462","SC","124590","189144","ATTABIRA","SC","NORTH DIVISION","10","65.87","2.78","yes","2236","1.79","3.7","AEOD1591","","7425","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","32","BARGARH","","","","8th Pass","Other","","",""
