"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"AE","Puducherry","12","1","2011","5","0","4","1","T.P.R. SELVAM","M","AINRC","12412","GEN","25045","27879","MANNADIPET","GEN","","8","89.83","49.56","no","4716","18.83","2.7","AEPY81926","","737","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","39","PUDUCHERRY","","","","","","","",""
"AE","Puducherry","12","1","2011","5","0","4","2","K.P.K. ARUL MURUGAN","M","PMK","7696","GEN","25045","27879","MANNADIPET","GEN","","8","89.83","30.73","no","3614","14.43","2.7","AEPY81927","","11891","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","35","PUDUCHERRY","","","","Graduate","Politics","MLA","Agriculture",""
"AE","Puducherry","12","1","2011","5","0","4","3","N. RAJARAM","M","IND","4082","GEN","25045","27879","MANNADIPET","GEN","","8","89.83","16.3","yes","3753","14.99","2.7","AEPY82929","","10809","TRUE","5","IND","10809","MANNADIPETH","FALSE","TRUE","1","FALSE","FALSE","TRUE","72","PUDUCHERRY","","","","Post Graduate","Other","","",""
"AE","Puducherry","12","1","2011","5","0","4","4","D. GUNASHAKARAN","M","IND","329","GEN","25045","27879","MANNADIPET","GEN","","8","89.83","1.31","yes","173","0.69","2.7","AEPY81929","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","33","PUDUCHERRY","","","","","","","",""
"AE","Puducherry","12","1","2011","5","0","4","5","M. LATCHUMANAN","M","BJP","156","GEN","25045","27879","MANNADIPET","GEN","","8","89.83","0.62","yes","4","0.02","2.7","AEPY83130","","1605","TRUE","3","IND","10809","MANNADIPETH","FALSE","FALSE","0","FALSE","FALSE","TRUE","57","PUDUCHERRY","","","","Post Graduate","Business","","",""
"AE","Puducherry","12","1","2011","5","0","4","6","PA. VADIVELAN","M","JD(U)","152","GEN","25045","27879","MANNADIPET","GEN","","8","89.83","0.61","yes","25","0.1","2.7","AEPY81931","","11002","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","31","PUDUCHERRY","","","","10th Pass","Small Business or Self-employed","Self-employed","",""
"AE","Puducherry","12","1","2011","5","0","4","7","V. MURUGANANDHAM","M","IND","127","GEN","25045","27879","MANNADIPET","GEN","","8","89.83","0.51","yes","36","0.14","2.7","AEPY81584","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","35","PUDUCHERRY","","","","12th Pass","Agriculture","","",""
"AE","Puducherry","12","1","2011","5","0","4","8","N.R. TANDAPANY","M","IND","91","GEN","25045","27879","MANNADIPET","GEN","","8","89.83","0.36","yes","0","0","2.7","AEPY81933","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","39","PUDUCHERRY","","","","10th Pass","Agriculture","","",""
"AE","Puducherry","12","2","2011","5","0","4","1","P. ANGALANE","M","AINRC","13733","SC","23269","25620","THIRUBHUVANAI","SC","","5","90.82","59.02","no","4768","20.49","2","AEPY82418","","737","TRUE","3","INC","3482","THIRUBUVANAI","FALSE","FALSE","3","TRUE","TRUE","TRUE","43","PUDUCHERRY","","","","","","","",""
"AE","Puducherry","12","2","2011","5","0","4","2","K. JAYARAJ","M","INC","8965","SC","23269","25620","THIRUBHUVANAI","SC","","5","90.82","38.53","no","8724","37.49","2","AEPY82670","","3482","TRUE","2","DMK","10192","THIRUBUVANAI","FALSE","FALSE","0","TRUE","FALSE","FALSE","60","PUDUCHERRY","","","","Graduate","Former Government","Ex Civil Service","",""
"AE","Puducherry","12","2","2011","5","0","4","3","M. DHANDAPANI","M","IND","241","SC","23269","25620","THIRUBHUVANAI","SC","","5","90.82","1.04","yes","29","0.12","2","AEPY81936","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","45","PUDUCHERRY","","","","Graduate","Agriculture","","",""
"AE","Puducherry","12","2","2011","5","0","4","4","M. SUNDARAMOORTHY","M","BJP","212","SC","23269","25620","THIRUBHUVANAI","SC","","5","90.82","0.91","yes","94","0.4","2","AEPY82209","","1605","TRUE","2","BSP","16651","THIRUBUVANAI","FALSE","FALSE","0","TRUE","FALSE","TRUE","43","PUDUCHERRY","","","","10th Pass","Liberal Profession or Professional","Musician or Artist","",""
