"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"AE","Punjab","14","1","2012","3","0","4","1","DINESH SINGH","M","BJP","50408","GEN","110978","143587","SUJANPUR","GEN","MAJHA","9","77.29","45.42","no","23096","20.81","3.23","AEPB6835","","1605","TRUE","2","BJP","1605","SUJANPUR","TRUE","TRUE","2","FALSE","TRUE","TRUE","49","PATHANKOT","","","","12th Pass","Agriculture","","",""
"AE","Punjab","14","1","2012","3","0","4","2","NARESH PURI","M","IND","27312","GEN","110978","143587","SUJANPUR","GEN","MAJHA","9","77.29","24.61","no","4318","3.89","3.23","AEPB7798","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","42","PATHANKOT","","","","Graduate","Business","","Agriculture",""
"AE","Punjab","14","1","2012","3","0","4","3","VINAY MAHAJAN","M","INC","22994","GEN","110978","143587","SUJANPUR","GEN","MAJHA","9","77.29","20.72","no","18707","16.86","3.23","AEPB7799","","3482","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","49","PATHANKOT","","","","10th Pass","Business","Unspecified","",""
"AE","Punjab","14","1","2012","3","0","4","4","KARNAIL CHAND","M","BSP","4287","SC","110978","143587","SUJANPUR","GEN","MAJHA","9","77.29","3.86","yes","2015","1.82","3.23","AEPB7800","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","53","PATHANKOT","","","","5th Pass","Other","","",""
"AE","Punjab","14","1","2012","3","0","4","5","LOVELEEN CHAHAL","F","CPI","2272","GEN","110978","143587","SUJANPUR","GEN","MAJHA","9","77.29","2.05","yes","435","0.39","3.23","AEPB6783","","2444","TRUE","2","CPI","2444","SRIHARGOBINDPUR","FALSE","TRUE","0","FALSE","FALSE","TRUE","56","PATHANKOT","","","","Post Graduate","Other","","",""
"AE","Punjab","14","1","2012","3","0","4","6","NIRMAL SINGH","M","IND","1837","GEN","110978","143587","SUJANPUR","GEN","MAJHA","9","77.29","1.66","yes","1086","0.98","3.23","AEPB7802","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","51","PATHANKOT","","","","10th Pass","Other","","",""
"AE","Punjab","14","1","2012","3","0","4","7","KIRAN SHARMA","F","IND","751","GEN","110978","143587","SUJANPUR","GEN","MAJHA","9","77.29","0.68","yes","86","0.08","3.23","AEPB7803","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","39","PATHANKOT","","","","10th Pass","Other","","",""
"AE","Punjab","14","1","2012","3","0","4","8","NARAIN SINGH","M","IND","665","GEN","110978","143587","SUJANPUR","GEN","MAJHA","9","77.29","0.6","yes","213","0.19","3.23","AEPB6837","","10809","TRUE","2","IND","10809","SUJANPUR","TRUE","TRUE","0","FALSE","FALSE","TRUE","59","PATHANKOT","","","","Post Graduate","Business","Real Estate or Builder or Developer or Construction","Agriculture",""
"AE","Punjab","14","1","2012","3","0","4","9","SUBHASH CHANDER","M","IND","452","GEN","110978","143587","SUJANPUR","GEN","MAJHA","9","77.29","0.41","yes","0","0","3.23","AEPB7805","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","42","PATHANKOT","","","","10th Pass","Agriculture","","",""
"AE","Punjab","14","2","2012","3","0","4","1","SEEMA KUMARI","F","BJP","50503","SC","108512","152145","BHOA","SC","MAJHA","7","71.32","46.54","no","12148","11.2","2.94","AEPB7806","","1605","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","33","PATHANKOT","","","","5th Pass","Other","Household","",""
"AE","Punjab","14","2","2012","3","0","4","2","BALBIR RAM","M","INC","38355","SC","108512","152145","BHOA","SC","MAJHA","7","71.32","35.35","no","30847","28.43","2.94","AEPB7807","","3482","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","55","PATHANKOT","","","","Graduate","Agriculture","","Social Work","Activist"
"AE","Punjab","14","2","2012","3","0","4","3","RAM LAL","M","IND","7508","SC","108512","152145","BHOA","SC","MAJHA","7","71.32","6.92","yes","1884","1.74","2.94","AEPB7808","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","67","PATHANKOT","","","","","Other","","",""
"AE","Punjab","14","2","2012","3","0","4","4","LAL CHAND","M","IND","5624","SC","108512","152145","BHOA","SC","MAJHA","7","71.32","5.18","yes","2783","2.56","2.94","AEPB7809","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","41","PATHANKOT","","","","10th Pass","Politics","Party Worker","",""
"AE","Punjab","14","2","2012","3","0","4","5","AMARJIT SINGH","M","BSP","2841","SC","108512","152145","BHOA","SC","MAJHA","7","71.32","2.62","yes","62","0.06","2.94","AEPB7810","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","48","PATHANKOT","","","","10th Pass","Business","Unspecified","",""
"AE","Punjab","14","2","2012","3","0","4","6","GURDEV SINGH","M","CPM","2779","SC","108512","152145","BHOA","SC","MAJHA","7","71.32","2.56","yes","1877","1.73","2.94","AEPB7811","","14635","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","42","PATHANKOT","","","","12th Pass","Liberal Profession or Professional","Musician or Artist","",""
"AE","Punjab","14","2","2012","3","0","4","7","DES RAJ","M","IND","902","SC","108512","152145","BHOA","SC","MAJHA","7","71.32","0.83","yes","0","0","2.94","AEPB7812","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","51","PATHANKOT","","","","8th Pass","Labourer or Daily Wage","","",""
"AE","Punjab","14","3","2012","3","0","4","1","ASHWANI KUMAR SHARMA","M","BJP","42218","GEN","94742","130391","PATHANKOT","GEN","MAJHA","10","72.66","44.56","no","17856","18.85","3.03","AEPB7813","","1605","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","46","PATHANKOT","","","","Graduate","Business","","",""
"AE","Punjab","14","3","2012","3","0","4","2","RAMAN BHALLA","M","INC","24362","GEN","94742","130391","PATHANKOT","GEN","MAJHA","10","72.66","25.71","no","649","0.69","3.03","AEPB7814","","3482","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","55","PATHANKOT","","","","Graduate","Agriculture","","Social Work","Activist"
"AE","Punjab","14","3","2012","3","0","4","3","ASHOK SHARMA","M","IND","23713","GEN","94742","130391","PATHANKOT","GEN","MAJHA","10","72.66","25.03","no","22419","23.66","3.03","AEPB5889","","10809","TRUE","3","INC","3482","PATHANKOT","TRUE","FALSE","1","FALSE","FALSE","TRUE","61","PATHANKOT","","","","Graduate Professional","Liberal Profession or Professional","Lawyer","",""
"AE","Punjab","14","3","2012","3","0","4","4","DR. JASPAL SINGH BHINDER","M","PPOP","1294","GEN","94742","130391","PATHANKOT","GEN","MAJHA","10","72.66","1.37","yes","165","0.17","3.03","AEPB7816","","6035","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","56","PATHANKOT","","","","Post Graduate","Liberal Profession or Professional","Doctor","",""
"AE","Punjab","14","3","2012","3","0","4","5","SANSAR CHAND","M","BSP","1129","GEN","94742","130391","PATHANKOT","GEN","MAJHA","10","72.66","1.19","yes","417","0.44","3.03","AEPB7817","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","53","PATHANKOT","","","","Illiterate","Business","Unspecified","",""
"AE","Punjab","14","3","2012","3","0","4","6","MUNISHA","F","IND","712","GEN","94742","130391","PATHANKOT","GEN","MAJHA","10","72.66","0.75","yes","77","0.08","3.03","AEPB7818","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","27","PATHANKOT","","","","10th Pass","Other","","",""
"AE","Punjab","14","3","2012","3","0","4","7","AMIT AGGARWAL","M","SHS","635","GEN","94742","130391","PATHANKOT","GEN","MAJHA","10","72.66","0.67","yes","343","0.36","3.03","AEPB6834","","18691","TRUE","2","IND","10809","PATHANKOT","TRUE","FALSE","0","FALSE","FALSE","TRUE","41","PATHANKOT","","","","10th Pass","Business","Contractor","",""
"AE","Punjab","14","3","2012","3","0","4","8","SHASHI BALA","F","IND","292","GEN","94742","130391","PATHANKOT","GEN","MAJHA","10","72.66","0.31","yes","84","0.09","3.03","AEPB7820","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","46","PATHANKOT","","","","","Politics","Party Worker","",""
