"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"AE","Rajasthan","13","1","2008","12","0","4","1","SANTOSH KUMAR SAHARAN","M","INC","49174","GEN","137374","171375","SADULSHAHAR","GEN","BIKANER DIVISION","9","80.16","35.8","no","2875","2.09","3.7","AERJ15222","","3482","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","67","GANGANAGAR","","","","Graduate","Other","","",""
"AE","Rajasthan","13","1","2008","12","0","4","2","GURJANT SINGH","M","BJP","46299","GEN","137374","171375","SADULSHAHAR","GEN","BIKANER DIVISION","9","80.16","33.7","no","23662","17.22","3.7","AERJ1567","","1605","TRUE","3","BJP","1605","SANGARIA","FALSE","TRUE","2","FALSE","TRUE","TRUE","68","GANGANAGAR","","","","Literate","Other","","",""
"AE","Rajasthan","13","1","2008","12","0","4","3","(COMREDE) HETRAM BENIWAL","M","CPM","22637","GEN","137374","171375","SADULSHAHAR","GEN","BIKANER DIVISION","9","80.16","16.48","yes","14786","10.76","3.7","AERJ15220","","14635","TRUE","7","CPM","14635","SANGARIA","FALSE","TRUE","1","FALSE","FALSE","TRUE","76","GANGANAGAR","","","","Post Graduate","Other","","",""
"AE","Rajasthan","13","1","2008","12","0","4","4","MAHESH KUMAR BUDANIA","M","IND","7851","GEN","137374","171375","SADULSHAHAR","GEN","BIKANER DIVISION","9","80.16","5.72","yes","594","0.43","3.7","AERJ15226","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","48","GANGANAGAR","","","","Graduate","Other","","",""
"AE","Rajasthan","13","1","2008","12","0","4","5","SHAMSHER SINGH","M","BSP","7257","GEN","137374","171375","SADULSHAHAR","GEN","BIKANER DIVISION","9","80.16","5.28","yes","5271","3.84","3.7","AERJ15219","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","36","GANGANAGAR","","","","10th Pass","Other","","",""
"AE","Rajasthan","13","1","2008","12","0","4","6","RAM KUMAR","M","IND","1986","GEN","137374","171375","SADULSHAHAR","GEN","BIKANER DIVISION","9","80.16","1.45","yes","1101","0.8","3.7","AERJ15223","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","37","GANGANAGAR","","","","12th Pass","Other","","",""
"AE","Rajasthan","13","1","2008","12","0","4","7","JAGROOP SINGH","M","IND","885","GEN","137374","171375","SADULSHAHAR","GEN","BIKANER DIVISION","9","80.16","0.64","yes","59","0.04","3.7","AERJ15221","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","55","GANGANAGAR","","","","5th Pass","Other","","",""
"AE","Rajasthan","13","1","2008","12","0","4","8","KRISHAN GOSWAMI","M","LJP","826","GEN","137374","171375","SADULSHAHAR","GEN","BIKANER DIVISION","9","80.16","0.6","yes","367","0.27","3.7","AERJ15218","","5029","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","54","GANGANAGAR","","","","Graduate","Other","","",""
"AE","Rajasthan","13","1","2008","12","0","4","9","BANWARI LAL","M","BHBP","459","SC","137374","171375","SADULSHAHAR","GEN","BIKANER DIVISION","9","80.16","0.33","yes","0","0","3.7","AERJ15224","","1365","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","43","GANGANAGAR","","","","Literate","Other","","",""
"AE","Rajasthan","13","2","2008","12","0","4","1","RADHEY SHYAM GANGANAGAR","M","BJP","48453","GEN","118029","166622","SRI GANGANAGAR","GEN","BIKANER DIVISION","13","70.84","41.05","no","12044","10.2","3.45","AERJ12284","","1605","TRUE","3","INC","3482","GANGANAGAR","FALSE","FALSE","2","TRUE","FALSE","TRUE","70","GANGANAGAR","","","","Literate","Other","","",""
"AE","Rajasthan","13","2","2008","12","0","4","2","RAJKUMAR","M","INC","36409","GEN","118029","166622","SRI GANGANAGAR","GEN","BIKANER DIVISION","13","70.84","30.85","no","22054","18.69","3.45","AERJ15229","","3482","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","59","GANGANAGAR","","","","Graduate Professional","Other","","",""
"AE","Rajasthan","13","2","2008","12","0","4","3","MANINDER SINGH MAAN","M","IND","14355","GEN","118029","166622","SRI GANGANAGAR","GEN","BIKANER DIVISION","13","70.84","12.16","yes","4403","3.73","3.45","AERJ15235","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","36","GANGANAGAR","","","","Graduate","Other","","",""
"AE","Rajasthan","13","2","2008","12","0","4","4","SATYAWAN","M","BSP","9952","GEN","118029","166622","SRI GANGANAGAR","GEN","BIKANER DIVISION","13","70.84","8.43","yes","6010","5.09","3.45","AERJ15237","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","38","GANGANAGAR","","","","Literate","Other","","",""
"AE","Rajasthan","13","2","2008","12","0","4","5","GAJENDER SINGH","M","IND","3942","GEN","118029","166622","SRI GANGANAGAR","GEN","BIKANER DIVISION","13","70.84","3.34","yes","2515","2.13","3.45","AERJ15227","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","42","GANGANAGAR","","","","Graduate","Other","","",""
"AE","Rajasthan","13","2","2008","12","0","4","6","SUBHASH CHAND","M","IND","1427","GEN","118029","166622","SRI GANGANAGAR","GEN","BIKANER DIVISION","13","70.84","1.21","yes","386","0.33","3.45","AERJ15238","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","38","GANGANAGAR","","","","10th Pass","Other","","",""
"AE","Rajasthan","13","2","2008","12","0","4","7","SATYAPAL","M","IND","1041","GEN","118029","166622","SRI GANGANAGAR","GEN","BIKANER DIVISION","13","70.84","0.88","yes","325","0.28","3.45","AERJ15236","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","60","GANGANAGAR","","","","Graduate Professional","Other","","",""
"AE","Rajasthan","13","2","2008","12","0","4","8","ISHWAR CHAND AGGARWAL","M","IND","716","GEN","118029","166622","SRI GANGANAGAR","GEN","BIKANER DIVISION","13","70.84","0.61","yes","250","0.21","3.45","AERJ15234","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","67","GANGANAGAR","","","","12th Pass","Other","","",""
