"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"AE","Sikkim","7","1","2009","5","0","4","1","DAWCHO LEPCHA","M","SDF","5909","ST","8235","9472","YOKSAM-TASHIDING","BL","SIKKIM","4","86.94","71.75","no","4243","51.52","1.82","AESK83343","","7925","TRUE","2","SDF","7925","RINCHENPONG","FALSE","TRUE","2","FALSE","TRUE","TRUE","39","WEST","","","","12th Pass","Other","","",""
"AE","Sikkim","7","1","2009","5","0","4","2","ADEN TSHERING LEPCHA","M","INC","1666","ST","8235","9472","YOKSAM-TASHIDING","BL","SIKKIM","4","86.94","20.23","no","1236","15.01","1.82","AESK83155","","3482","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","45","WEST","","","","5th Pass","Other","","",""
"AE","Sikkim","7","1","2009","5","0","4","3","NEDUP TSHERING BHUTIA","M","SHRP","430","ST","8235","9472","YOKSAM-TASHIDING","BL","SIKKIM","4","86.94","5.22","yes","200","2.43","1.82","AESK83156","","7931","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","57","WEST","","","","","","","",""
"AE","Sikkim","7","1","2009","5","0","4","4","PEMBA SHERPA","M","SGPP","230","ST","8235","9472","YOKSAM-TASHIDING","BL","SIKKIM","4","86.94","2.79","yes","0","0","1.82","AESK83157","","12556","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","29","WEST","","","","5th Pass","Other","","",""
"AE","Sikkim","7","2","2009","5","0","4","1","PREM LALL SUBBA","M","SDF","5770","ST","7884","9169","YANGTHANG","GEN","SIKKIM","6","85.99","73.19","no","4225","53.59","1.72","AESK83158","","7925","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","44","WEST","","","","8th Pass","Other","","",""
"AE","Sikkim","7","2","2009","5","0","4","2","DEPAN HANG LIMBU","M","INC","1545","ST","7884","9169","YANGTHANG","GEN","SIKKIM","6","85.99","19.6","no","1327","16.83","1.72","AESK83159","","3482","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","34","WEST","","","","8th Pass","Other","","",""
"AE","Sikkim","7","2","2009","5","0","4","3","PADAM BAHADUR CHETTRI","M","BJP","218","GEN","7884","9169","YANGTHANG","GEN","SIKKIM","6","85.99","2.77","yes","70","0.89","1.72","AESK83160","","1605","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","32","WEST","","","","Post Graduate","Other","","",""
"AE","Sikkim","7","2","2009","5","0","4","4","AKAR DHOJ LIMBU","M","SHRP","148","ST","7884","9169","YANGTHANG","GEN","SIKKIM","6","85.99","1.88","yes","5","0.06","1.72","AESK83328","","7931","TRUE","3","SHRP","7931","SOREONG","FALSE","TRUE","0","FALSE","FALSE","TRUE","44","WEST","","","","","","","",""
"AE","Sikkim","7","2","2009","5","0","4","5","KARNA BAHADUR GURUNG","M","SJEP","143","GEN","7884","9169","YANGTHANG","GEN","SIKKIM","6","85.99","1.81","yes","83","1.05","1.72","AESK83162","","7933","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","31","WEST","","","","8th Pass","Other","","",""
"AE","Sikkim","7","2","2009","5","0","4","6","GANESH BHATTARAI","M","SGPP","60","GEN","7884","9169","YANGTHANG","GEN","SIKKIM","6","85.99","0.76","yes","0","0","1.72","AESK83163","","12556","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","28","WEST","","","","Post Graduate","Other","","",""
