"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"AE","Tamil_Nadu","10","1","2011","5","0","4","1","SEKAR C H","M","DMDK","97708","GEN","179616","215443","GUMMIDIPUNDI","GEN","CHENNAI CITY REGION","12","83.37","54.4","no","29256","16.29","2.22","AETN186788","","2956","TRUE","2","DMDK","2956","GUMMIDIPUNDI","TRUE","TRUE","1","FALSE","FALSE","TRUE","31","TIRUVALLUR","","","","Graduate Professional","Business","","",""
"AE","Tamil_Nadu","10","1","2011","5","0","4","2","SEKAR K N","M","PMK","68452","GEN","179616","215443","GUMMIDIPUNDI","GEN","CHENNAI CITY REGION","12","83.37","38.11","no","66560","37.06","2.22","AETN190544","","11891","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","40","TIRUVALLUR","","","","8th Pass","Business","Real Estate or Builder or Developer or Construction","",""
"AE","Tamil_Nadu","10","1","2011","5","0","4","3","SELVAKUMAR R","M","IND","1892","SC","179616","215443","GUMMIDIPUNDI","GEN","CHENNAI CITY REGION","12","83.37","1.05","yes","9","0.01","2.22","AETN190545","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","27","TIRUVALLUR","","","","","","","",""
"AE","Tamil_Nadu","10","1","2011","5","0","4","4","CHAKRAVARTHI SRIRAMAN B","M","BJP","1883","GEN","179616","215443","GUMMIDIPUNDI","GEN","CHENNAI CITY REGION","12","83.37","1.05","yes","47","0.03","2.22","AETN190546","","1605","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","36","TIRUVALLUR","","","","12th Pass","Agriculture","","",""
"AE","Tamil_Nadu","10","1","2011","5","0","4","5","MUNIKRISHNAN G","M","JMM","1836","GEN","179616","215443","GUMMIDIPUNDI","GEN","CHENNAI CITY REGION","12","83.37","1.02","yes","374","0.21","2.22","AETN190547","","4653","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","43","TIRUVALLUR","","","","10th Pass","Other","","",""
"AE","Tamil_Nadu","10","1","2011","5","0","4","6","VELU N","M","IND","1462","GEN","179616","215443","GUMMIDIPUNDI","GEN","CHENNAI CITY REGION","12","83.37","0.81","yes","37","0.02","2.22","AETN190548","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","36","TIRUVALLUR","","","","","","","",""
"AE","Tamil_Nadu","10","1","2011","5","0","4","7","ASOKAN G","M","PB","1425","SC","179616","215443","GUMMIDIPUNDI","GEN","CHENNAI CITY REGION","12","83.37","0.79","yes","14","0.01","2.22","AETN190549","","6276","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","51","TIRUVALLUR","","","","10th Pass","Social Work","Activist","",""
"AE","Tamil_Nadu","10","1","2011","5","0","4","8","RAJA A","M","IND","1411","SC","179616","215443","GUMMIDIPUNDI","GEN","CHENNAI CITY REGION","12","83.37","0.79","yes","183","0.1","2.22","AETN190550","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","39","TIRUVALLUR","","","","","","","",""
"AE","Tamil_Nadu","10","1","2011","5","0","4","9","SUDHAKAR M","M","RPI","1228","GEN","179616","215443","GUMMIDIPUNDI","GEN","CHENNAI CITY REGION","12","83.37","0.68","yes","231","0.13","2.22","AETN190551","","6911","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","28","TIRUVALLUR","","","","","","","",""
"AE","Tamil_Nadu","10","1","2011","5","0","4","10","SHANMUGAM P","M","IND","997","GEN","179616","215443","GUMMIDIPUNDI","GEN","CHENNAI CITY REGION","12","83.37","0.56","yes","162","0.09","2.22","AETN190552","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","30","TIRUVALLUR","","","","","","","",""
