"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"AE","Tripura","9","1","2008","3","0","3","1","PRANAB DEBBARMA","M","CPM","14439","ST","26321","28397","SIMNA","ST","","4","92.69","54.86","no","3331","12.66","2.08","AETR23","","14635","TRUE","4","CPM","14635","SIMNA","TRUE","TRUE","4","FALSE","TRUE","TRUE","38","WEST TRIPURA","","","","","","","",""
"AE","Tripura","9","1","2008","3","0","3","2","RABINDRA DEBBARMA","M","INPT","11108","ST","26321","28397","SIMNA","ST","","4","92.69","42.2","no","10591","40.24","2.08","AETR5195565","","3962","TRUE","11","INPT","3962","RAIMA VALLEY","FALSE","TRUE","4","FALSE","TRUE","TRUE","48","WEST TRIPURA","","","","10th Pass","Other","","",""
"AE","Tripura","9","1","2008","3","0","3","3","RABINDRA KISHORE DEBBARMA","M","IND","517","ST","26321","28397","SIMNA","ST","","4","92.69","1.96","yes","260","0.99","2.08","AETR5195566","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","59","WEST TRIPURA","","","","","","","",""
"AE","Tripura","9","1","2008","3","0","3","4","RITA RANI DEBBARMA","F","AITC","257","ST","26321","28397","SIMNA","ST","","4","92.69","0.98","yes","0","0","2.08","AETR2010","","18228","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","51","WEST TRIPURA","","","","8th Pass","Other","","",""
"AE","Tripura","9","2","2008","3","0","3","1","RATAN LAL NATH","M","INC","14349","GEN","28278","30496","MOHANPUR","GEN","","4","92.73","50.74","no","1356","4.8","2.13","AETR329","","3482","TRUE","5","INC","3482","MOHANPUR","TRUE","TRUE","4","FALSE","TRUE","TRUE","57","WEST TRIPURA","","","","Graduate Professional","Other","","",""
"AE","Tripura","9","2","2008","3","0","3","2","SUBHAS CHANDRA DEBNATH","M","CPM","12993","GEN","28278","30496","MOHANPUR","GEN","","4","92.73","45.95","no","12515","44.26","2.13","AETR2012","","14635","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","57","WEST TRIPURA","","","","","","","",""
"AE","Tripura","9","2","2008","3","0","3","3","DHIRENDRA DEBNATH","M","BJP","478","GEN","28278","30496","MOHANPUR","GEN","","4","92.73","1.69","yes","20","0.07","2.13","AETR653","","1605","TRUE","4","AITC","18228","MOHANPUR","TRUE","FALSE","2","TRUE","FALSE","TRUE","37","WEST TRIPURA","","","","8th Pass","Other","","",""
"AE","Tripura","9","2","2008","3","0","3","4","JOY KUMAR DEB","M","AMB","458","GEN","28278","30496","MOHANPUR","GEN","","4","92.73","1.62","yes","0","0","2.13","AETR2014","","894","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","55","WEST TRIPURA","","","","8th Pass","Other","","",""
"AE","Tripura","9","3","2008","3","0","3","1","HARICHARAN SARKAR","M","CPM","17324","SC","33272","35499","BAMUTIA","SC","","5","93.73","52.07","no","2380","7.15","2.13","AETR333","","14635","TRUE","5","CPM","14635","BAMUTIA","TRUE","TRUE","4","FALSE","FALSE","TRUE","58","WEST TRIPURA","","","","","","","",""
"AE","Tripura","9","3","2008","3","0","3","2","PRAKASH CHANDRA DAS","M","INC","14944","SC","33272","35499","BAMUTIA","SC","","5","93.73","44.91","no","14577","43.81","2.13","AETR863","","3482","TRUE","5","INC","3482","BAMUTIA","TRUE","TRUE","3","FALSE","TRUE","TRUE","49","WEST TRIPURA","","","","Graduate","Other","","",""
"AE","Tripura","9","3","2008","3","0","3","3","SAMIR BISWAS","M","BJP","367","SC","33272","35499","BAMUTIA","SC","","5","93.73","1.1","yes","1","0","2.13","AETR2017","","1605","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","42","WEST TRIPURA","","","","Graduate","Other","","",""
"AE","Tripura","9","3","2008","3","0","3","4","BRAJENDRA DAS","M","AMB","366","SC","33272","35499","BAMUTIA","SC","","5","93.73","1.1","yes","95","0.29","2.13","AETR2018","","894","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","54","WEST TRIPURA","","","","8th Pass","Other","","",""
"AE","Tripura","9","3","2008","3","0","3","5","PAPRI PODDER(BISWAS)","F","AITC","271","SC","33272","35499","BAMUTIA","SC","","5","93.73","0.81","yes","0","0","2.13","AETR2019","","18228","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","30","WEST TRIPURA","","","","10th Pass","Other","","",""
"AE","Tripura","9","4","2008","3","0","3","1","SANKAR PRASAD DATTA","M","CPM","24853","GEN","50789","54467","BARJALA","GEN","","6","93.25","48.93","no","598","1.18","2.13","AETR1771","","14635","TRUE","2","CPM","14635","AGARTALA","FALSE","TRUE","1","FALSE","FALSE","TRUE","48","WEST TRIPURA","","","","","","","",""
"AE","Tripura","9","4","2008","3","0","3","2","DIPAK KUMAR ROY","M","INC","24255","GEN","50789","54467","BARJALA","GEN","","6","93.25","47.76","no","23558","46.38","2.13","AETR866","","3482","TRUE","5","INC","3482","BARJALA","TRUE","TRUE","3","FALSE","TRUE","TRUE","59","WEST TRIPURA","","","","10th Pass","Other","","",""
"AE","Tripura","9","4","2008","3","0","3","3","PULAK KUMAR DEBNATH","M","BJP","697","GEN","50789","54467","BARJALA","GEN","","6","93.25","1.37","yes","326","0.64","2.13","AETR2022","","1605","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","43","WEST TRIPURA","","","","Post Graduate","Other","","",""
"AE","Tripura","9","4","2008","3","0","3","4","PRADIP CHAKRABORTY","M","AITC","371","GEN","50789","54467","BARJALA","GEN","","6","93.25","0.73","yes","15","0.03","2.13","AETR1766","","18228","TRUE","2","AITC","18228","BARJALA","TRUE","TRUE","0","FALSE","FALSE","TRUE","41","WEST TRIPURA","","","","10th Pass","Other","","",""
"AE","Tripura","9","4","2008","3","0","3","5","SANJIB DEY","M","NCP","356","GEN","50789","54467","BARJALA","GEN","","6","93.25","0.7","yes","99","0.19","2.13","AETR2024","","5792","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","30","WEST TRIPURA","","","","Others","Other","","",""
"AE","Tripura","9","4","2008","3","0","3","6","JAYANTA KUMAR DATTA","M","AIFB","257","GEN","50789","54467","BARJALA","GEN","","6","93.25","0.51","yes","0","0","2.13","AETR2025","","3040","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","32","WEST TRIPURA","","","","","","","",""
"AE","Tripura","9","5","2008","3","0","3","1","PABITRA KAR","M","CPM","18833","GEN","37919","41072","KHAYERPUR","GEN","","4","92.32","49.67","no","1001","2.64","2.13","AETR872","","14635","TRUE","5","CPM","14635","KHAYERPUR","TRUE","TRUE","4","FALSE","TRUE","TRUE","57","WEST TRIPURA","","","","","","","",""
