"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"AE","Uttar_Pradesh","16","1","2012","3","0","4","1","MAHAVEER SINGH RANA","M","BSP","70274","GEN","221122","303273","BEHAT","GEN","WEST","13","72.91","31.78","no","514","0.23","3.85","AEUP2024252","","16651","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","50","SAHARANPUR","","","","Graduate Professional","Business","Agricultural Business","Agriculture",""
"AE","Uttar_Pradesh","16","1","2012","3","0","4","2","NARESH","M","INC","69760","GEN","221122","303273","BEHAT","GEN","WEST","13","72.91","31.55","no","22394","10.13","3.85","AEUP65792","","3482","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","47","SAHARANPUR","","","","Post Graduate","Agriculture","","",""
"AE","Uttar_Pradesh","16","1","2012","3","0","4","3","UMAR ALI KHAN","M","SP","47366","GEN","221122","303273","BEHAT","GEN","WEST","13","72.91","21.42","no","23743","10.74","3.85","AEUP105072","","7425","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","34","SAHARANPUR","","","","Post Graduate","Agriculture","","",""
"AE","Uttar_Pradesh","16","1","2012","3","0","4","4","AJAY CHAUHAN","M","BJP","23623","GEN","221122","303273","BEHAT","GEN","WEST","13","72.91","10.68","yes","21372","9.67","3.85","AEUP65795","","1605","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","29","SAHARANPUR","","","","8th Pass","Other","","",""
"AE","Uttar_Pradesh","16","1","2012","3","0","4","5","DHARAM SINGH","M","CPI","2251","SC","221122","303273","BEHAT","GEN","WEST","13","72.91","1.02","yes","477","0.22","3.85","AEUP105074","","2444","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","39","SAHARANPUR","","","","10th Pass","Agriculture","","",""
"AE","Uttar_Pradesh","16","1","2012","3","0","4","6","DHANIRAM","M","IND","1774","GEN","221122","303273","BEHAT","GEN","WEST","13","72.91","0.8","yes","375","0.17","3.85","AEUP65788","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","39","SAHARANPUR","","","","8th Pass","Business","Agricultural Business","",""
"AE","Uttar_Pradesh","16","1","2012","3","0","4","7","ARVIND","M","MD","1399","GEN","221122","303273","BEHAT","GEN","WEST","13","72.91","0.63","yes","91","0.04","3.85","AEUP105076","","11598","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","31","SAHARANPUR","","","","Post Graduate","Business","","Agriculture",""
"AE","Uttar_Pradesh","16","1","2012","3","0","4","8","KARI INAM","M","RUC","1308","GEN","221122","303273","BEHAT","GEN","WEST","13","72.91","0.59","yes","527","0.24","3.85","AEUP65791","","6870","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","35","SAHARANPUR","","","","Others","Agriculture","","",""
"AE","Uttar_Pradesh","16","1","2012","3","0","4","9","YASHPAL","M","ABHM","781","SC","221122","303273","BEHAT","GEN","WEST","13","72.91","0.35","yes","55","0.02","3.85","AEUP201639","","268","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","28","SAHARANPUR","","","","8th Pass","Religious Occupation","","",""
"AE","Uttar_Pradesh","16","1","2012","3","0","4","10","ABDUL JABBAR","M","NCP","726","GEN","221122","303273","BEHAT","GEN","WEST","13","72.91","0.33","yes","24","0.01","3.85","AEUP65786","","5792","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","35","SAHARANPUR","","","","8th Pass","Other","","",""
"AE","Uttar_Pradesh","16","1","2012","3","0","4","11","VIKRAM","M","VAJP","702","GEN","221122","303273","BEHAT","GEN","WEST","13","72.91","0.32","yes","109","0.05","3.85","AEUP105080","","8471","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","35","SAHARANPUR","","","","","","","",""
"AE","Uttar_Pradesh","16","1","2012","3","0","4","12","IRSHAD URF BHOORA","M","RLM","593","GEN","221122","303273","BEHAT","GEN","WEST","13","72.91","0.27","yes","28","0.01","3.85","AEUP65797","","6707","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","57","SAHARANPUR","","","","","","","",""
"AE","Uttar_Pradesh","16","1","2012","3","0","4","13","MAHMOOD","M","LD","565","GEN","221122","303273","BEHAT","GEN","WEST","13","72.91","0.26","yes","0","0","3.85","AEUP105082","","4996","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","26","SAHARANPUR","","","","","","","",""
"AE","Uttar_Pradesh","16","2","2012","3","0","4","1","DR. DHARAM SINGH SAINI","M","BSP","89187","GEN","230751","298985","NAKUR","GEN","WEST","16","77.18","38.65","no","4564","1.98","3.33","AEUP102039","","16651","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","45","SAHARANPUR","","","","Graduate Professional","Agriculture","","",""
