"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"AE","Uttarakhand","3","1","2012","3","0","4","1","MALCHAND","M","BJP","18098","SC","45533","58640","PUROLA","SC","GARHWAL","5","77.65","39.75","no","3832","8.42","3.12","AEUK100153","","1605","TRUE","2","IND","10809","PUROLA","TRUE","FALSE","1","FALSE","FALSE","TRUE","45","UTTARKASHI","","","","10th Pass","Business","Hospitality","Agriculture",""
"AE","Uttarakhand","3","1","2012","3","0","4","2","RAJKUMAR","M","IND","14266","SC","45533","58640","PUROLA","SC","GARHWAL","5","77.65","31.33","no","3462","7.6","3.12","AEUK100152","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","46","UTTARKASHI","","","","Graduate Professional","Social Work","","",""
"AE","Uttarakhand","3","1","2012","3","0","4","3","RAJESH JUWANTHA","M","INC","10804","SC","45533","58640","PUROLA","SC","GARHWAL","5","77.65","23.73","no","9145","20.08","3.12","AEUP74337","","3482","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","34","UTTARKASHI","","","","10th Pass","Agriculture","","",""
"AE","Uttarakhand","3","1","2012","3","0","4","4","KISHAN LAL","M","BSP","1659","SC","45533","58640","PUROLA","SC","GARHWAL","5","77.65","3.64","yes","953","2.09","3.12","AEUP74339","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","60","UTTARKASHI","","","","Others","Retired or Pension","Retired or Pension","",""
"AE","Uttarakhand","3","1","2012","3","0","4","5","PRAKASH DEVNATA","M","UtPP","706","SC","45533","58640","PUROLA","SC","GARHWAL","5","77.65","1.55","yes","0","0","3.12","AEUP74336","","8455","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","32","UTTARKASHI","","","","12th Pass","Agriculture","","",""
"AE","Uttarakhand","3","2","2012","3","0","4","1","PRITAM SINGH PANWAR","M","UKDP","15909","GEN","43936","61863","YAMUNOTRI","GEN","GARHWAL","7","71.02","36.21","no","2596","5.91","3.45","AEUK100269","","8451","TRUE","3","UKKD","13023","YAMUNOTRI","TRUE","FALSE","2","TRUE","FALSE","TRUE","47","UTTARKASHI","","","","Graduate","Agriculture","","",""
"AE","Uttarakhand","3","2","2012","3","0","4","2","KEDAR SINGH RAWAT","M","INC","13313","GEN","43936","61863","YAMUNOTRI","GEN","GARHWAL","7","71.02","30.3","no","1352","3.08","3.45","AEUP74342","","3482","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","52","UTTARKASHI","","","","Graduate Professional","Liberal Profession or Professional","Lawyer","",""
"AE","Uttarakhand","3","2","2012","3","0","4","3","JAGVEER SINGH","M","BJP","11961","GEN","43936","61863","YAMUNOTRI","GEN","GARHWAL","7","71.02","27.22","no","10903","24.82","3.45","AEUP74341","","1605","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","50","UTTARKASHI","","","","Graduate","Agriculture","","",""
"AE","Uttarakhand","3","2","2012","3","0","4","4","MAHAVEER SINGH","M","IND","1058","GEN","43936","61863","YAMUNOTRI","GEN","GARHWAL","7","71.02","2.41","yes","191","0.43","3.45","AEUP74345","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","38","UTTARKASHI","","","","12th Pass","Agriculture","","Social Work",""
"AE","Uttarakhand","3","2","2012","3","0","4","5","VIJENDRA PRASAD","M","BSP","867","GEN","43936","61863","YAMUNOTRI","GEN","GARHWAL","7","71.02","1.97","yes","413","0.94","3.45","AEUP74344","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","41","UTTARKASHI","","","","12th Pass","Business","","",""
"AE","Uttarakhand","3","2","2012","3","0","4","6","JEET SINGH BHADKOTI","M","JD(U)","454","GEN","43936","61863","YAMUNOTRI","GEN","GARHWAL","7","71.02","1.03","yes","80","0.18","3.45","AEUP74346","","11002","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","39","UTTARKASHI","","","","8th Pass","Small Business or Self-employed","","",""
"AE","Uttarakhand","3","2","2012","3","0","4","7","MURARI LAL","M","UtRM","374","GEN","43936","61863","YAMUNOTRI","GEN","GARHWAL","7","71.02","0.85","yes","0","0","3.45","AEUP74343","","8456","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","43","UTTARKASHI","","","","","","","",""
"AE","Uttarakhand","3","3","2012","3","0","4","1","VIJAIPAL SINGH SAJWAN","M","INC","20246","GEN","50446","71433","GANGOTRI","GEN","GARHWAL","10","70.62","40.13","no","7023","13.92","3.85","AEUK100165","","3482","TRUE","2","INC","3482","GANGOTRI","TRUE","TRUE","2","FALSE","FALSE","FALSE","53","UTTARKASHI","","","","Post Graduate","Agriculture","","",""
"AE","Uttarakhand","3","3","2012","3","0","4","2","GOPAL SINGH RAWAT","M","BJP","13223","GEN","50446","71433","GANGOTRI","GEN","GARHWAL","10","70.62","26.21","no","6787","13.45","3.85","AEUK100164","","1605","TRUE","2","BJP","1605","GANGOTRI","TRUE","TRUE","1","FALSE","TRUE","TRUE","52","UTTARKASHI","","","","Post Graduate","Social Work","","",""
"AE","Uttarakhand","3","3","2012","3","0","4","3","SURESH SINGH","M","IND","6436","GEN","50446","71433","GANGOTRI","GEN","GARHWAL","10","70.62","12.76","yes","841","1.67","3.85","AEUP74350","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","44","UTTARKASHI","","","","12th Pass","Agriculture","","Social Work",""
"AE","Uttarakhand","3","3","2012","3","0","4","4","KISHAN SINGH","M","IND","5595","GEN","50446","71433","GANGOTRI","GEN","GARHWAL","10","70.62","11.09","yes","4178","8.28","3.85","AEUP74354","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","61","UTTARKASHI","","","","12th Pass","Social Work","","",""
"AE","Uttarakhand","3","3","2012","3","0","4","5","HARI SHANKAR","M","IND","1417","GEN","50446","71433","GANGOTRI","GEN","GARHWAL","10","70.62","2.81","yes","61","0.12","3.85","AEUP74351","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","66","UTTARKASHI","","","","Post Graduate","Other","","",""
"AE","Uttarakhand","3","3","2012","3","0","4","6","DINESH NAUTIYAL","M","CPI","1356","GEN","50446","71433","GANGOTRI","GEN","GARHWAL","10","70.62","2.69","yes","276","0.55","3.85","AEUP74353","","2444","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","53","UTTARKASHI","","","","Post Graduate","Agriculture","","",""
"AE","Uttarakhand","3","3","2012","3","0","4","7","HUKAM SINGH","M","BSP","1080","GEN","50446","71433","GANGOTRI","GEN","GARHWAL","10","70.62","2.14","yes","496","0.98","3.85","AEUP74355","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","60","UTTARKASHI","","","","12th Pass","Retired or Pension","","Social Work",""
