"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"AE","West_Bengal","15","1","2011","2","0","4","1","ADHIKARY PARESH CHANDRA","M","AIFB","72040","SC","147357","170181","MEKLIGANJ","SC","JALPAIGURI DIVISION","8","86.59","48.89","no","32632","22.14","2.94","AEWB102177","","3040","TRUE","4","AIFB","3040","MEKLIGANJ","TRUE","TRUE","4","FALSE","TRUE","TRUE","58","COOCH BEHAR","","","","12th Pass","Other","","",""
"AE","West_Bengal","15","1","2011","2","0","4","2","JAYANTA KUMAR RAY","M","INC","39408","SC","147357","170181","MEKLIGANJ","SC","JALPAIGURI DIVISION","8","86.59","26.74","no","15868","10.77","2.94","AEWB104052","","3482","TRUE","2","INC","3482","MEKLIGANJ","TRUE","TRUE","0","FALSE","FALSE","TRUE","48","COOCH BEHAR","","","","Graduate","Education","School Teacher","",""
"AE","West_Bengal","15","1","2011","2","0","4","3","SUNIL CHANDRA RAY","M","IND","23540","SC","147357","170181","MEKLIGANJ","SC","JALPAIGURI DIVISION","8","86.59","15.97","yes","19827","13.46","2.94","AEWB121344","","10809","TRUE","2","AITC","18228","MEKLIGANJ","TRUE","FALSE","0","FALSE","FALSE","TRUE","60","COOCH BEHAR","","","","","","","",""
"AE","West_Bengal","15","1","2011","2","0","4","4","SUBHASH BARMAN","M","BJP","3713","SC","147357","170181","MEKLIGANJ","SC","JALPAIGURI DIVISION","8","86.59","2.52","yes","354","0.24","2.94","AEWB102180","","1605","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","34","COOCH BEHAR","","","","12th Pass","Agriculture","","",""
"AE","West_Bengal","15","1","2011","2","0","4","5","JYOTISH ROY","M","BSP","3359","SC","147357","170181","MEKLIGANJ","SC","JALPAIGURI DIVISION","8","86.59","2.28","yes","766","0.52","2.94","AEWB100208","","16651","TRUE","2","BSP","16651","MEKLIGANJ","TRUE","TRUE","0","FALSE","FALSE","TRUE","61","COOCH BEHAR","","","","","Labourer or Daily Wage","","",""
"AE","West_Bengal","15","1","2011","2","0","4","6","PRAMILA ROY","F","SUCI","2593","SC","147357","170181","MEKLIGANJ","SC","JALPAIGURI DIVISION","8","86.59","1.76","yes","1119","0.76","2.94","AEWB102182","","8082","TRUE","2","IND","10809","MEKLIGANJ","TRUE","FALSE","0","FALSE","FALSE","FALSE","44","COOCH BEHAR","","","","Graduate","Education","School Teacher","",""
"AE","West_Bengal","15","1","2011","2","0","4","7","PURNENDU ROY","M","IND","1474","SC","147357","170181","MEKLIGANJ","SC","JALPAIGURI DIVISION","8","86.59","1","yes","244","0.17","2.94","AEWB102183","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","32","COOCH BEHAR","","","","10th Pass","Agriculture","","",""
"AE","West_Bengal","15","1","2011","2","0","4","8","RATAN BARMAN","M","AMB","1230","SC","147357","170181","MEKLIGANJ","SC","JALPAIGURI DIVISION","8","86.59","0.83","yes","0","0","2.94","AEWB100210","","894","TRUE","2","AMB","894","MEKLIGANJ","TRUE","TRUE","0","FALSE","FALSE","TRUE","46","COOCH BEHAR","","","","8th Pass","Business","","",""
"AE","West_Bengal","15","2","2011","2","0","4","1","BINAY KRISHNA BARMAN","M","AITC","78249","SC","168434","194088","MATHABHANGA","SC","JALPAIGURI DIVISION","6","86.78","46.46","no","5324","3.16","2.44","AEWB105807","","18228","TRUE","2","AITC","18228","MATHABHANGA","TRUE","TRUE","1","FALSE","FALSE","FALSE","50","COOCH BEHAR","","","","Graduate Professional","Agriculture","","",""
"AE","West_Bengal","15","2","2011","2","0","4","2","ANANTA ROY","M","CPM","72925","SC","168434","194088","MATHABHANGA","SC","JALPAIGURI DIVISION","6","86.78","43.3","no","61617","36.58","2.44","AEWB102186","","14635","TRUE","2","CPM","14635","MATHABHANGA","TRUE","TRUE","1","FALSE","TRUE","TRUE","57","COOCH BEHAR","","","","12th Pass","Retired or Pension","Retired Teacher","",""
